,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,743591.2484518621,0.0,5.177507568,0.0,661.7392371130001,,13035.417567900002,13693.260582074,0.0,,224.387839913,30183.982138449002,8.994920331,38.474869004,0.089255426,5.830574695
Aquaculture,0.0,26307.125795,112.74031857,,49.906038292000005,,29.492562042,314.96276093499995,131.09378703,,38.7515225,0.7127433169999999,345.895879839,5.970821521,142.405325292,0.0
Beach and Dune,57.453511432999996,10.063554529000001,104328.80159,,23.356569981,,2786.410674802,376.63797836500004,105.651847464,,258.16386057,326.431045212,23.888447988,18.168130148,5.706178404999999,167.33209539499998
Forest Plantation,21.5122468,,,930.9842640999999,0.0,,97.557702408,21.117727048,,,0.0,0.087566876,0.0,0.0,,
Grassland,5618.406748972001,61.868771085,123.49291407000001,0.0,2838612.2472918895,0.440558575,344502.10488863796,68513.09226234599,4.372900268,,2776.7010779740003,90331.38169264098,2189.691311111,2122.190223505,100.18251684,211.784381996
Mining,0.0,,,,1.326098724,3465.8158803700003,1.752802484,3.44478645,,,0.0,0.439284271,0.0,0.0,,0.08675813
Mosaic of Agriculture and Pasture,75419.06288450302,197.27249351,1680.899204928,24.07765643,88079.92100428599,1.316577643,7311819.470734066,1024790.8489068432,2.943070605,0.0,6314.688206734,1196803.63454,5928.976961640001,6007.424062378999,14.169121027000001,5041.663177229
Natural Forest,53407.84181877199,223.470600414,1163.676091947,277.18056149,116216.86091696298,8.875073449999999,928442.1565797672,52148391.85961877,24.597753978,,2217.8041066809997,1513816.2173438927,14884.267224185998,11667.703503507,161.207904714,1603.8402005630003
Non Observed,0.0,108.500555886,173.70455525,,6.782365045000001,,1.247493262,135.36320604499997,11189.695270874001,,1.873350623,7.735504199,7.488340857,0.35631950700000004,65.509416827,29.985838320000003
Other Non Forest Natural Formation,,,,,,,0.0,,,0.355954327,,,,,,
Other Non Vegetated Area,445.84679269800006,134.292212103,264.50061117999996,0.0,549.989022724,0.08886716900000001,33011.382548695,4358.295451268999,1.6938952330000001,,115877.30375342799,12393.934171815,436.77750683700003,623.969414102,2.940208105,168.27289204899998
Pasture,167041.591538974,0.0,13.713924644999999,41.36093631,65809.02078975,0.260621271,719263.948956,816361.2300638569,8.080323461999999,,24084.731356010998,14385009.5104,4179.4926728,11196.383486514,0.0,3844.0971852
"River, Lake and Ocean",10.981301666000002,770.8535322,668.877914978,0.689218652,5711.95983329,0.088106525,56469.68529450001,93212.956263635,9.898173248,,1456.123873865,21797.42335719,662289.992735744,477.30939111800006,92.26131087799999,4.195101086
Rocky outcrop,69.21700106600001,0.089042773,0.17832301600000003,0.0,2854.16581545,0.0,3927.314183534,9676.363799291,0.0,,103.792712361,13427.727883540001,586.46999463,73621.03808655,0.0,24.521157141
Salt flat,0.0,60.040056275,59.31901673,,182.65955188,,19.608439889,181.242302624,31.146511405,,4.548483904999999,2.671300629,53.971012638000005,60.916947219,17452.793806,0.35689939600000004
Urban Infrastructure,0.08845631699999999,0.0,40.451517845000005,,0.262362171,0.0,1.417619336,1.333225763,0.0,,0.0,0.880523028,0.0,0.0,0.981325885,105873.371585
