,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,730283.1873421179,0.0,0.803366583,0.0,2460.9644432310006,,12296.958459243999,18139.026840604998,0.0,,132.435509166,38055.516223893,15.952383153999998,9.830436407999999,0.0,53.927928411
Aquaculture,0.35614475100000004,25120.4969167,283.92322281,,184.74010987,,468.311167006,263.931824249,89.44535350000001,,276.23828087299995,0.08911046800000001,491.97933761199994,71.99683075,227.46013696299997,0.08912106300000001
Beach and Dune,130.59893213700002,35.901724434,101722.28333999998,,120.05540778,,3763.056458,985.28902225,162.14824816,,110.35069409200001,563.076747802,131.609362672,15.593001751,20.595754022,727.50678642
Forest Plantation,0.0,,,922.84691782,0.0,,30.378040577,27.909762339,,,0.0,90.12478641,0.0,0.0,,
Grassland,12722.198461558,302.60399023,189.65869787,0.0,2824492.1425847798,0.792982086,332310.332422564,42970.208526749,3.838308831,,3960.509293329,134596.39984066,2140.61117091,625.894831823,142.00466774,710.7621585740001
Mining,0.0,,,,3.5311436040000004,3452.53562645,9.115173664,5.91954668,,,0.0,1.677361243,0.0,0.0,,0.08675813
Mosaic of Agriculture and Pasture,195913.657819391,326.0791462,2522.2433611,17.334258221000002,118806.47880469801,7.22694834,6639073.746924064,1069844.76849626,1.160204834,0.0,7364.444229612999,1663790.11764,8168.2102572600015,2317.949758356,30.75900816,13942.191841599997
Natural Forest,140419.35040811996,547.334770551,1295.6758568500004,239.46277393999998,99454.903601762,38.222609165,1108430.468109721,50835551.33674876,7.57264154,,3611.2069699330004,2562686.5755704725,28324.147962682997,5536.326886391,151.164988489,6213.806363456001
Non Observed,0.357106262,124.377018094,270.08613194,,15.616419392,,0.35697844199999995,189.076106357,10940.236992426,,0.0,36.118735269,16.128742826,0.0,90.191641535,45.69634485099999
Other Non Forest Natural Formation,,,,,,,0.177980334,,,0.177973993,,,,,,
Other Non Vegetated Area,1044.321313024,308.118903308,300.25844239,0.0,962.392661109,0.0,14366.605514694002,2325.168901078,0.08928575400000001,,130164.47294111304,14874.275965627001,416.68902647299996,3019.600686296,10.518554108,476.77515551
Pasture,254468.87044077402,0.0,50.404665915,55.820286440000004,48376.111651456,0.173797125,698033.236361,1090258.5647002112,7.879440533,,7363.231206527001,14076168.602699999,6756.237393599999,1977.005283554,0.0,13337.285057099998
"River, Lake and Ocean",61.217858203999995,741.40823772,756.3328478800001,0.259457214,5146.667124413,0.528652777,34813.710853519995,90432.420854726,13.110363842,,919.046248611,47982.085075339986,661857.79396372,128.52776565000002,100.198387747,19.987790095
Rocky outcrop,597.9550018530001,4.456250684,19.859667776000002,0.0,3338.8480901020002,0.0,1796.226813462,5800.150904345001,0.0,,248.19022761399998,17522.627083580002,199.86542141799998,74724.416513007,0.0,38.282015333
Salt flat,0.35615457799999994,124.06573735,134.30247954,,334.96920534000003,,88.43377285999999,302.104472414,18.378645722999998,,34.464879217,0.890414136,52.647114644,26.062356632,16991.706983,0.892112811
Urban Infrastructure,0.08845631699999999,0.0,22.911545134,,0.354560443,0.0,0.442799646,0.892101703,0.0,,0.0,0.5273416500000001,0.0,0.0,1.694965662,105891.87484500001
