,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1282264.8010854716,4.897191589,26.226407516000002,0.172802948,4155.251074183999,,28741.473291382004,36488.51670065801,0.0,,525.7784632480001,94502.99553537702,40.250854458999996,19.776497491,0.0,463.220241174
Aquaculture,0.0,27478.026558100002,22.975138876000003,,25.669543191000002,,11.580896991,39.862006907,18.363503326999997,,0.623343274,0.0,100.83870605999999,21.46094043,107.838640488,0.0
Beach and Dune,280.74381191,739.9273342399999,93776.61747,,216.16619963,,7631.9615192,280.187034969,335.62045879,,373.66929242,503.14707933,1173.268110561,123.889063003,101.20265722,213.53124316999998
Forest Plantation,0.431984796,,,1487.4163533,0.0,,0.087568719,3.616488458,,,0.0,0.08638850099999999,0.0,0.0,,
Grassland,13376.909002899001,1039.693375,60.969284280000004,0.0,2726452.58991064,6.17578504,143212.35347509998,44144.89482532701,13.475380956999999,,2729.6621655999998,105140.10865704999,3180.1515790400003,1354.8951818649998,253.02275862,611.8911498770001
Mining,0.0,,,,22.02818602,3254.42050927,28.324526614,106.87015615700001,,,0.0,15.812516275999998,0.351550665,0.0,,0.525980615
Mosaic of Agriculture and Pasture,112001.274710519,3348.412679123,927.36136599,38.699047590999996,169732.21807180697,19.62399997,5878591.968652819,942160.939659776,0.6244066770000001,0.088990265,13253.402460944,1144609.3278399997,55027.48638410001,1770.031752206,118.275371756,14033.01188901
Natural Forest,180487.43096777308,1339.8479307600003,779.95957685,1058.6009207,29842.650639262996,224.795134078,960895.744205925,49424699.56305486,14.622531764000001,,5104.4447301830005,2229383.04472932,111832.288968638,2576.882362936,203.897973619,4012.4789276029996
Non Observed,3.303230676,164.16259854999998,161.212295245,,13.114980129000001,,0.622867474,44.976405609,10658.946778033001,,0.80265564,48.119190036,12.664777190999999,0.0,21.233812408,36.855399764
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08900919199999999,,,,,,
Other Non Vegetated Area,713.470572879,420.080620175,101.518747791,0.0,1156.956557387,0.0,7213.610799973,1567.061576518,0.35714453700000004,,121750.640880136,8633.063060894,1432.8690566,1400.893042698,24.322806596,633.526107601
Pasture,281289.406809926,543.69795888,135.058234716,92.63771464,44259.470913482,41.64520099,810892.349288,1311324.5812255677,10.277768079,,38185.992958474,16707543.5213,55189.94848175,2498.7067721019994,13.62359087,17607.9783479
"River, Lake and Ocean",7.066225898,1282.81466576,155.89317004,0.0,548.363566236,10.835056,4436.59391892,8564.958792891997,16.399514942,,658.1919434729999,2451.0851696960003,646659.968929486,139.822804325,55.967787687000005,21.577250778000003
Rocky outcrop,260.37564107200006,279.4349916,25.319657688,0.0,1885.570504553,0.0,1163.201575173,9496.099043408001,0.08928915400000001,,1191.6342949710001,3587.566322908,153.129794889,60098.67962991,25.154829291,48.55416988500001
Salt flat,0.267112158,507.64843583999993,95.758758777,,177.279292237,,13.832969041,299.91254835300003,55.057127938,,17.811043041999998,0.178082556,18.801343022,0.178099255,15819.975241999999,16.41520841
Urban Infrastructure,0.0,6.784635913,251.60061186000001,,0.356858844,0.0,2.222723523,1.6836628349999998,0.0,,0.0,0.705531866,0.088172314,0.0,0.8028984440000001,158153.89745699998
