,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1249497.0116006488,14.601614424000001,32.814837022999995,0.430509893,4558.031578344,,31743.338537040996,25460.315610227004,0.0,,1368.6188491429998,134410.151161886,13.558959729000001,32.513078586,0.356154688,101.61759435599998
Aquaculture,0.0,27518.074945,16.742033506000002,,19.773965472,,17.365896485,22.267867389000003,28.259378114,,0.178086871,0.267158679,101.911934591,21.909594950000002,80.488413748,0.0
Beach and Dune,171.06473201199998,444.76712543,100274.82177000001,,91.062220473,,3320.6560168,90.10858460600001,234.71406987999998,,101.46327968,332.59418976,283.988653066,236.99595777000002,69.763855204,97.930819044
Forest Plantation,0.0,,,1481.7433603,0.0,,0.0,9.721882373,,,0.0,0.173541418,0.0,0.0,,
Grassland,4395.212864184999,823.9078175000001,58.91678813000001,0.0,2770555.6052966896,5.734223291,153440.20721747,42495.66660050001,6.870207,,2733.82635677,62590.17595004001,2776.56131706,1342.055570797,182.829708239,169.22365684
Mining,0.0,,,,5.639156598,3395.99718646,3.0729533329999996,20.130977911,,,0.0,3.3173747070000004,0.17577625100000002,0.0,,0.0
Mosaic of Agriculture and Pasture,62796.700764242996,1800.2842773,759.05348928,22.417319905,118109.50866913299,1.937302729,6466427.866012819,661586.47797129,0.356729907,0.0,11871.890354451001,953472.36104,50029.4186671,4070.20037025,90.578780234,4593.69623417
Natural Forest,64357.977616906996,739.225285391,420.327895486,180.95385100000001,33440.095821587995,69.142470266,832652.5560879102,50553444.79364813,16.138585298,,4991.368655756999,1349439.0548200598,108645.585825029,2792.0418059060003,113.95252056999999,1153.042489186
Non Observed,0.175470435,89.221146637,105.36772652,,21.860685391,,0.892667792,27.126582128,10820.403344743001,,0.8919474909999999,47.24252673700001,6.50928573,0.178140393,28.831761506000003,17.31370569
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08900919199999999,,,,,,
Other Non Vegetated Area,305.867287051,614.2093087390001,130.538911882,0.0,1239.019246976,0.0,5556.215196423001,1345.9245489210002,0.17857858899999998,,125338.072697125,8987.512490695002,769.55777807,454.491566069,22.70766549,284.07570176
Pasture,139305.41399961303,393.29939656000005,124.22724953299999,18.962439078000003,38177.58000892899,5.835567523,723328.6804689999,822019.7177930499,4.683510449,,15295.470464214999,17475036.7502,48936.664463999994,2212.408189571,21.727273839000002,4747.4747415699985
"River, Lake and Ocean",0.707756562,505.805987228,104.73363004800001,0.172664325,1313.364114848,0.0,2891.52091558,5178.21287439,6.8653954100000005,,497.138345977,658.1549422960001,653595.229023376,224.756511185,21.853340025,11.02332934
Rocky outcrop,107.71330268499999,152.47189835,26.21441409,0.0,1600.3948883480002,0.0,1090.792588105,6345.062913297999,0.0,,3921.8556966970004,3339.103106144,164.22660492900002,61433.05645839,12.66524083,21.252639611
Salt flat,0.0,421.32275359,31.275074456,,185.52742283999999,,29.256544231,139.42077259799999,37.298797615,,24.96612923,0.089273798,11.939254767,2.1379157170000003,16130.781357,9.099966449
Urban Infrastructure,0.0,0.0,54.631580208,,0.266661542,0.0,3.1118128099999995,1.50591328,0.089210791,,0.266283588,1.05462016,0.089207019,0.088698456,0.356850665,158356.681713
