,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1037041.963773529,0.17806195100000002,40.883454103,1.0362198059999999,4140.785423752999,,9718.63070193,22687.483535633997,0.0,,50.182160327,44960.077797948994,27.177336977,60.567839037000006,0.0,1081.716006388
Aquaculture,0.17834757099999998,27110.985715699997,52.986583785,,116.80943437900001,,7.1281739260000005,78.36432784200001,30.780590363,,0.534517279,7.479631287,162.68293218,14.87153097,246.421402021,0.0
Beach and Dune,383.106861199,932.6809499,102543.49635,,511.25663314999997,,4317.0175765,404.04084718600006,419.54851051,,55.311425189999994,619.3574245,419.38853577000003,86.47392511,51.234115617,1341.8195674
Forest Plantation,12.491276811,,,1534.0066719,0.0,,3.26576377,2.153526868,,,0.0,2.5248450620000003,0.0,0.0,,
Grassland,32894.26517496,698.02680346,52.889348948999995,8.067548395000001,2635015.96087438,7.93907666,158082.2845938,39474.652100645006,4.016899865,,4404.948182541,189690.07855227002,407.08953159099997,1499.2243429450002,146.58147370999998,1865.753331939
Mining,0.0,,,,131.121190858,3114.6115995900004,11.865431919999999,170.87895396000002,,,0.088867889,21.760952208000003,3.523370209,0.0,,0.34794230299999995
Mosaic of Agriculture and Pasture,285150.34034357296,2403.325422111,2042.728196353,28.456631831,303753.74948983,52.51955842,5504122.220796349,1075930.727026346,2.050667767,0.088990027,10813.191779937,1827507.10082,12724.733432099998,5898.244863624,35.45727578,30904.2776225
Natural Forest,455676.9273051058,2872.1739502519995,1591.5911703269996,1648.1003359210001,55238.77537316399,376.485369875,1136446.9480662604,48293824.22292862,28.713456631,,3861.186423938,3983329.9368960997,39828.765647422,4619.452918446,305.90425429100003,21061.121302195
Non Observed,6.06316687,303.07820854,168.94637311,,29.259885078,,1.1603765320000001,100.796665408,10626.078416659999,,0.178579865,104.77799008500001,20.864163703,0.267150525,76.581787932,91.84744505099998
Other Non Forest Natural Formation,,,,,,,0.0,,,0.089018445,,,,,,
Other Non Vegetated Area,1758.756983862,457.54255797,353.64254741,0.0,1270.598909588,0.0,7202.405224189,1697.8790220110002,0.357143665,,79299.73844537,18523.377378104,175.95312027100002,2645.528376143,7.480991906,594.467913857
Pasture,507814.41136899503,1479.0696392,214.7154156,196.61669349000002,82766.13032913201,52.329109695,505970.835539,1513576.67135505,3.9568630430000002,,8957.314380263,15181890.021999998,8145.19396935,2262.085004487,41.04896003,46823.77545619999
"River, Lake and Ocean",399.241997192,1527.53866926,422.9119644,6.919443134,3858.48672465,6.167632855,48513.628132499995,45390.730230995,12.209451830999999,,858.0571977039998,49499.6455716,512485.878083554,860.656521602,24.058720842,84.60940815300002
Rocky outcrop,1007.980674278,1019.4055114700001,33.49839824,0.173170197,2467.311429218,0.0,1670.5850060349999,10660.314965802,0.178159827,,965.8010450549999,2020.2822249199999,151.744847935,48399.21828378899,7.942528412,33.164366741
Salt flat,0.0,810.00990293,110.825134841,,267.56820988,,16.483844135000002,496.98101407600006,37.296399495,,19.680830193,0.534247693,34.335106661999994,41.320166185,15260.076922,23.3740251
Urban Infrastructure,0.08845631699999999,6.606092456,58.47917324,,0.0,0.0,0.356329974,1.510064525,0.0,,0.0,0.177910791,0.089217218,0.0,1.516585535,133553.16350899998
