,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1544615.0334748882,0.0,3.4749822869999996,0.863970117,509.58918300999994,,1564.640544023,2044.133386871,0.08773533900000001,,21.494370059999998,5930.368151939,0.0,0.088906488,0.0,31.080500570999998
Aquaculture,0.0,35124.3574805,1.068640045,,2.5856098210000003,,33.930982068,20.840438901999995,7.391600787000001,,15.40512462,0.0,26.093609619,1.4248737980000001,6.152176812,0.0
Beach and Dune,18.356125093,6.423549969,99752.01481,,17.491397387,,338.88406524999994,2.587510669,24.983488125999997,,25.784713936,63.24805836,13.180969923,2.850255584,0.8020108149999999,18.986075927
Forest Plantation,0.6047756710000001,,,1784.5494976999998,0.0,,0.17180671399999997,0.950451411,,,0.0,0.6064753780000001,0.0,0.0,,
Grassland,1074.975546565,124.00239388,7.763481861000001,0.0,2787879.1570263007,0.0,80737.76846651599,18484.927501485,9.010042181,,2007.0533754219998,11374.350589739,664.3753836299999,544.1693385390001,25.662826875999997,22.306255516000004
Mining,0.0,,,,0.8811294009999999,3490.0936288800003,0.617718719,1.9372793449999999,,,0.0,0.177138318,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,23367.619355635,182.51684045,280.175306,2.175071387,10556.956475910001,0.176496588,7940244.135708743,132819.796114224,0.5357339839999999,0.0,3565.534508991,127831.47288599997,4819.5614683700005,1228.4909922820002,4.8149428400000005,1081.3191701499998
Natural Forest,9287.013540596,156.829084554,11.062846595000002,170.48295708,11597.983932358,4.463889068,223106.24453962198,51519093.73535255,2.319032855,,2355.468227844,225810.01481606005,8823.166662729,2789.284608853001,10.700751966,23.439240848999997
Non Observed,0.357105884,10.8692323,15.524160969,,5.888590942,,0.7141441829999999,3.3878890139999998,11213.193867949001,,0.801502832,1.333949659,7.48775766,0.089057245,3.658787823,0.7137723079999999
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08899724099999999,,,,,,
Other Non Vegetated Area,452.136579079,103.042732162,36.223392644,0.0,283.157781254,0.0,5896.841824757,781.8264580470001,0.446227514,,176915.33267221902,7269.332474121001,571.596187154,1356.7924307959997,2.226082196,90.91287860700001
Pasture,51006.284924625994,0.0,61.976986049999994,7.6390385499999995,3709.5837677429995,0.5244683410000001,80656.0359838,163523.061727415,0.7995493340000001,,7728.27819,19709226.40342679,1136.0849766889999,2996.4903621460003,0.178336877,551.375872619
"River, Lake and Ocean",0.0,264.411086016,10.699733813000002,0.085766083,777.043287882,0.17621901899999998,4602.45619064,13425.123310924002,5.3476280759999995,,424.634541842,785.175392779,901561.8827488958,185.106191465,3.0290718200000004,0.088938062
Rocky outcrop,15.759594179999999,45.241332292,59.309669368,0.0,704.5191856810002,0.0,3186.407889106,4876.330321423001,0.178145618,,545.5732779049999,2138.078893024,198.387072725,54569.44815394,0.712470844,1.6917520629999998
Salt flat,0.0,13.44998824,6.056360735,,16.401963837,,2.495684101,8.55467688,16.501516528,,3.0282092410000003,0.178083142,1.3361934020000001,0.890630457,16184.304393999999,0.178417957
Urban Infrastructure,0.08872417,0.178543457,12.921219165,,0.62251109,0.0,2.2195938600000003,1.069826208,0.0,,0.44230427199999994,1.1432853879999998,0.17843362399999999,0.0,0.713727966,181907.42437499997
