,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1837512.8447338305,26.182590175,315.39051678000004,110.89520819999998,2725.6187849030002,,25696.890585796,17591.865844898002,0.0,,68.75806208200001,62476.029294218,13.999555743,36.466844671,0.0,667.2469695660001
Aquaculture,0.0,38972.609003000005,6.679365076,,222.870202639,,304.18533238000003,48.20508827,25.59615788,,4.4518495730000005,81.03179734000001,170.91689563999998,4.452810168,72.016894692,0.089271759
Beach and Dune,32.969475084,86.158793353,89778.29293,,282.66396537,,716.37747462,26.509019074999998,226.52211692,,45.140478223,137.85583652000003,140.022801396,77.479190726,2.32013786,557.69455278
Forest Plantation,18.736720748,,,2832.217295,0.0,,4.554700048,16.961354751000002,,,0.0,20.685663203,0.0,0.0,,
Grassland,8566.896509651002,182.23164395999999,120.64370657900001,3.746424079,2706213.356058706,1.498502148,91147.224385891,41065.102294192,10.433838549,,740.239634135,38433.026841889994,333.37020414299997,2216.7521051209997,90.252440245,283.45188757
Mining,0.0,,,,10.486263233,3413.62679746,9.412940185999998,4.931621497,,,0.088867889,0.873203955,6.399812976000001,0.17385145899999999,,0.260278894
Mosaic of Agriculture and Pasture,100085.217267551,1145.23537785,7300.0511824000005,6.136183483,192764.57704317602,1.049018359,5841264.061378942,559360.2038933409,0.7130799809999999,0.0,3035.530478593,1130518.3763121788,2268.43598741,3107.770293805,9.716239825,11640.410745719999
Natural Forest,112376.845625817,470.16222167200004,243.708321816,441.46668293,49091.859838235,54.300370519,553813.5191013799,49613349.81146451,19.342744257,,1295.442799312,1375596.4531126833,4694.563376460002,4063.9338485929998,146.72666087,2101.950647196
Non Observed,0.624982733,31.580612611,163.53848996200003,,25.956413553,,1.071229535,11.489761725000001,10915.07467051,,0.267865533,43.881188617999996,20.336860228,0.6238994449999999,36.687415744,15.266625885
Other Non Forest Natural Formation,,,,,,,0.0,,,0.177976288,,,,,,
Other Non Vegetated Area,1375.457636946,202.665184636,381.27828074,0.08703477800000001,1971.9080026809997,0.0,19330.678576815,2429.6970153280004,0.44621616900000005,,148691.16917005499,41304.39696142,210.96891867800002,1633.1048370730002,4.898542712999999,681.498934064
Pasture,333282.707435609,44.62083028,838.01851083,181.17109974100003,53349.246907356,3.9154924739999997,591803.8678390001,553780.3116453801,27.650282295000004,,7023.962694632999,18714736.9679,1382.726784015,2334.105314596001,0.26712204,11647.276221400003
"River, Lake and Ocean",562.2182579419999,785.42036781,1188.00003293,0.25869111300000003,6766.84342431,0.263879407,94856.01029600001,92677.54391321598,8.559148242,,1118.1993865250001,123856.20293630999,603410.9943749101,912.9025643809998,19.006021805,15.933751575999999
Rocky outcrop,697.5140207189999,1.69223158,129.588166903,0.0,1091.852145912,0.0,1335.869326058,3564.379752477,0.0,,811.0831196690001,2923.604518679,41.292559870999995,46114.53425671,0.08904917,20.658742326
Salt flat,0.0,324.03244202999997,45.189240833,,447.76919176999996,,18.540173204,65.87428804599999,14.446250323,,6.683524701,0.44539490400000004,52.617926733,28.588129801,15107.458646,0.89181062
Urban Infrastructure,0.088854315,0.0,66.256568978,,1.1569974120000002,0.087663409,1.5985582150000002,2.652132984,0.178423615,,0.0,1.497952985,0.35685767799999996,0.0,0.891867138,215605.302718
