,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,724902.871567004,0.0,4.729826349,0.0,65.032782584,,2323.1299187679997,1265.1756551300005,0.0,,17.403764569,21521.146049245,5.203080615,0.087785327,0.0,121.964694329
Aquaculture,0.0,17895.3827337,1.157737561,,121.14779767499999,,115.10226422,177.02212976799999,6.687302503,,10.781039861999998,0.089048584,234.64424502999998,7.2185633000000005,77.69155109299999,0.0
Beach and Dune,1.249674969,22.35188809,100994.54501,,40.063742742,,886.9007362290001,276.67972004,98.266198751,,90.56751961999998,45.418040251,16.838638863,0.17832301600000003,3.921516144,41.166276394
Forest Plantation,0.0,,,1037.3857726,0.0,,20.566692610999997,484.025486022,,,0.0,0.258761865,0.345075335,0.171556183,,
Grassland,2003.376485443,2769.25051693,146.57619023,0.34442749,3045911.3386645,1.233774481,350416.64622345,74641.651905999,2.499037122,,3056.6276045219997,89304.9728922,1081.7351062100001,3116.828223025,234.20991542000002,424.266476043
Mining,0.0,,,,0.44386392799999996,3397.2266534099995,0.700642688,1.589186231,,,0.0,0.08792933300000001,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,7771.887508477001,674.46536479,2002.34639076,0.262895953,110556.10238689701,1.32374818,7763614.76699,894947.621866356,1.695009912,0.0,17659.749615235003,1889312.1910799998,43179.08367739,3066.3011761019998,45.544047609,28811.90489471
Natural Forest,18455.791451892997,1557.65980915,774.1727806440001,85.09707199900001,142255.364688585,3.173410584,1240552.586016481,53455540.97026272,58.112721013999995,,5493.336290044,1415305.09236017,39431.852834319,8738.308936931,184.19326518100002,2618.5476179609996
Non Observed,0.0,676.50207711,148.429501687,,4.817224285,,2.495581995,56.519556541,11959.639077645998,,1.158752136,18.375722206,5.081164356,0.0,67.08739865499999,62.837286442
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08898602300000001,,,,,,
Other Non Vegetated Area,72.717046622,667.0548266610001,378.56254265000007,0.0,938.250882199,0.0,13790.856831037,3077.7126667940006,2.765611615,,144718.36994510697,33995.758317924,524.145421007,240.76973962400004,8.015691973,2087.2812332760004
Pasture,26468.720595310002,4.452626355,52.715779250000004,30.52641934,48755.321721042,0.26363634,527648.9250279999,523913.59241372603,1.486254901,,6291.0145650489985,12237487.2424,23524.859377129997,9926.327628732999,0.267128369,4703.139776000001
"River, Lake and Ocean",0.532584766,1700.1230997100001,897.48993388,8.623619757,3211.1839505200005,0.0,19188.786206899997,35225.206823941,10.611338581,,1139.5058551319999,5056.5424264,785355.870059637,336.8933268,89.344097179,39.279159582
Rocky outcrop,406.11287224200004,0.0,46.310307043,0.7789327879999999,7289.780028219,0.0,11512.977733325,15902.901772644,0.089215375,,1178.189793728,27043.96633883,160.497491028,108432.62904391502,0.089261328,45.688305472
Salt flat,0.0,123.18699501900001,12.668804022,,112.89334391999999,,5.969970826,35.22987638800001,16.679149036000002,,4.639484619,0.0,26.231525834,0.0,16678.868083,0.267642786
Urban Infrastructure,0.0,0.0,2.408773224,,0.0,0.0,0.880720258,0.446015131,0.0,,0.0,0.08843972800000001,0.0,0.0,0.089212531,54144.8926147
