,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1818758.8991086197,6.769083276,263.36189638,122.81305319,3029.3547284029996,,18499.548264247,24580.255510857005,0.0,,58.832177479,51776.985179667,20.399904712,58.486501227000005,0.0,1543.0011695940002
Aquaculture,7.839241198,37150.0367108,11.04306248,,200.610320968,,41.594956795,151.35254680600002,38.892787477,,31.701361637999998,6.500558404,273.42154734,34.018075265,53.738958236,0.8911150459999999
Beach and Dune,127.538254873,218.58850432,86607.62074,,369.73067895,,1155.8033148900001,131.61929639800002,347.82475754,,61.597295839,299.3013848,280.98647085,99.38740073,19.906329868,790.1378166699999
Forest Plantation,115.35923845,,,2604.746109,0.0,,4.233358405000001,60.671875731,,,0.0,27.273425838999998,0.086229858,0.0,,
Grassland,20850.566503148,234.49503538999997,72.18207024,3.9186666320000003,2550916.6059150603,0.17621325699999998,50657.03236294001,35773.532791492005,10.976976721,,2789.3189015059997,52361.163001817,538.2511717140001,4201.538673140999,70.48561887299999,334.77607279
Mining,4.864824237,,,,85.21461217199999,2792.77390368,285.8839749289999,53.898399202,,,38.722966588999995,123.71833491100001,10.304371073,1.1472129640000002,,81.639137048
Mosaic of Agriculture and Pasture,149245.70157404096,1600.9312603399999,5803.8815125,157.49748945,383034.91199955007,1.8393634769999998,5569632.396350238,751934.9062640761,0.802876843,0.0,10718.093784223,1269125.576801013,4565.6457226,4310.037385414,33.812567003,27331.602445529996
Natural Forest,186837.941605563,854.797653359,94.211982579,1212.141549523,45098.947388766,48.59168901099999,426340.2077669371,49101221.513607174,40.497713157999996,,2566.1023552340002,1660996.45688127,11609.480712841998,5142.638255425,129.82784836000002,6444.991077605999
Non Observed,0.265650384,57.600328079,145.567135291,,18.464703659,,1.428240893,30.311818211000002,10859.956900511,,0.535287501,50.769328173000005,18.998387573,0.267398138,51.036823808,49.28125794
Other Non Forest Natural Formation,,,,,,,0.0,,,0.178021887,,,,,,
Other Non Vegetated Area,2513.491680696,274.586737509,429.44388377999996,0.0,1615.151955028,0.0,10328.032715778001,4493.432212301001,0.623827301,,147180.91817841402,18934.31424732,363.868070862,4473.249323147,22.277342122,2047.3640299659999
Pasture,454057.05650150497,444.26259728099996,1120.14679478,425.59854436099994,95783.74702559,4.69919928,588762.597915,1105425.88971567,54.699675033,,19241.026195086,18120166.4545,3805.05705123,9882.616807745,0.445658789,27730.187455400002
"River, Lake and Ocean",1145.19804428,532.3442644500001,882.668120766,2.611838385,7857.373896842998,3.963513678,53590.38395971999,113793.77369291997,13.633823844,,952.484056068,104194.0261113,652693.8525565771,404.71988164699997,15.612074949,66.71263352500002
Rocky outcrop,280.24128712699996,58.54629412,23.876084158,0.0,2157.048348695,0.0,2802.454740819999,6129.737222191001,0.0,,163.70631056699997,3607.0765553640003,130.918458433,60229.77225577,2.5864909480000002,79.914773731
Salt flat,0.356148553,492.19041582,21.566089691,,322.77273854,,19.620623493,73.210434195,20.062127541,,14.070841205,0.356924804,51.249208952,65.90057252,15078.535948,5.263083374
Urban Infrastructure,0.35359804,4.820660803,51.270078209,,0.26667032999999996,0.0,0.890449011,2.924664344,0.17842617800000002,,0.0,0.44199146100000003,0.088172314,0.0,1.516345184,202524.293539
