,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,725106.4180362734,0.0,4.820521027,0.0,4733.863802925999,,6431.132090929,26212.027436961,0.0,,284.926932122,38294.868535764,18.236652381000003,60.138228641,0.0,302.17069728599995
Aquaculture,0.0,26188.1819054,92.434457615,,42.340919692,,37.774541716,355.69190197699993,82.332607325,,94.29858929999999,0.7124302920000001,218.28239961999998,57.11407592,309.80461025,0.08912106300000001
Beach and Dune,777.71216037,473.58207954,91503.10386,,208.72288641000003,,10588.94212,325.616086713,317.40142835,,418.12523706,1931.4878324,742.51410726,42.751581301,57.80234688,1100.3037487899999
Forest Plantation,5.425522168,,,931.3337021,0.0,,63.232849633,25.555170072,,,0.0,45.71226316,0.0,0.0,,
Grassland,33773.77956079001,943.3084885999999,172.05212232,0.777266852,2698371.4803804895,2.026595477,369533.52919493,50435.981959029996,5.087198755,,10160.113255749999,185811.42092691106,2983.53244197,1230.525493709,158.93488808,1585.408416707
Mining,0.0,,,,29.16484996,3249.27228085,32.102547873,124.44988508200001,,,0.0,36.370254876000004,1.33137044,0.0,,0.174421539
Mosaic of Agriculture and Pasture,291420.47163637495,2583.8178313,1170.9298955000002,39.265191942,108859.034509664,68.34186183,6067028.813494065,1225341.4942045403,0.892469104,0.0,11993.441491845,1937494.77087,44462.290501790005,4668.306625724999,70.03398293,26924.4635622
Natural Forest,334859.9267475091,2419.1837614150004,1847.703364631,1208.8288242800002,56648.21035087599,224.977301368,1385161.872487526,48966513.63196974,18.272991521999998,,6517.870705359,3945177.269099734,74330.00323118998,4045.3068262439997,188.242011216,13346.262365904002
Non Observed,4.553102593999999,219.941835229,298.16463981000004,,23.201033330999998,,0.44625296,240.47656367099998,10675.250582886001,,0.534302545,102.12122180600001,14.790330539000001,0.089289069,48.449705687,100.223356166
Other Non Forest Natural Formation,,,,,,,0.0,,,0.355954327,,,,,,
Other Non Vegetated Area,1392.538476455,557.478764985,191.67898431999998,0.0,1429.8389238950003,0.0,14522.062280952,1883.2720286099998,0.714313732,,128801.259785774,15150.302250463998,1096.174063954,2440.5154628369996,7.3998474299999994,796.052155685
Pasture,367401.702588223,557.305459659,14.606286147999999,191.68546759,51138.23410042201,19.618085477,656484.4037140001,1480537.38913012,3.601608867,,16987.840205037,13567601.879600001,22491.764383300004,2990.093292673,29.56234791,30403.7367046
"River, Lake and Ocean",122.146073227,1090.62269212,603.1496742899999,0.691764392,1925.8875554799997,5.462743109,17342.3837922,42261.79382205301,13.19508999,,632.053505674,8466.815922629998,769715.7439729751,601.7080930019999,131.732181786,59.90850439100001
Rocky outcrop,1269.6093642019998,6.1488680239999995,0.17832301600000003,0.0,3026.966316764,0.0,1507.518285312,6625.987757509999,0.0,,173.822381751,19722.172096317998,194.06931587999998,71710.013317265,0.08905092199999999,54.302915791
Salt flat,0.267113318,512.459502881,128.08915176,,368.46740644,,45.025643931999994,429.48515658300005,62.009182686,,46.327114164,0.8016289,69.922777603,1.070619018,16436.963101,8.385931049
Urban Infrastructure,0.0,0.714173029,63.42965024,,0.7986390080000001,0.0,0.534763879,1.336559687,0.0,,0.0,0.174802478,0.0,0.0,0.8028731990000001,105850.995165
