,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,2550990.2796179396,8.818926227,5.971918426,20.031709775999996,14.848868767,,1097.0959928290001,486.34568677999994,0.0,,0.087174512,1255.1908730769999,0.351436835,0.0,0.0,146.622094953
Aquaculture,10.778910158,41485.034324,0.35620069600000004,,291.3426574,,68.305040994,18.172733932,112.30376091,,12.824449879,5.521137903,298.31452416,57.34260238,15.853242355999999,0.178542993
Beach and Dune,52.112703032,0.0,100151.70047,,17.399451636000002,,341.33717502900004,3.65556513,22.115873483999998,,31.426663577,394.7962648,23.787666413000004,30.634401925,5.254435254,18.812704557
Forest Plantation,1.727482208,,,5012.1768899,0.0,,0.26003476,0.43147246100000003,,,0.0,0.08601190199999999,0.0,0.0,,
Grassland,1999.8981492130004,51.766728147,3.3013309939999997,0.0,3072695.323513999,0.088118799,17016.298688313,12424.921945226004,9.629312708,,159.100871776,6453.518342341,1035.914505062,4254.205544068999,29.578352482,20.509414405999998
Mining,0.0,,,,2.998198304,3149.08540997,193.855922951,6.723865588,,,25.575097631,75.655017711,0.0,0.799805267,,51.235154633
Mosaic of Agriculture and Pasture,21167.241992610005,46.073737956,93.210859578,0.25850772699999996,34921.882727984,0.437995837,6343298.88257743,121041.26128264103,0.892666705,0.0,397.501122003,95693.3935588,6852.870165680001,818.0667969799999,0.535417969,1240.229161359
Natural Forest,19119.271202324002,37.17666889899999,0.26765185599999997,35.162736831000004,19847.648486400994,1.665931482,93631.54598916299,50456011.06680787,4.459454431,,116.371225182,126393.222958963,10894.760193206,1168.4519617149997,17.119353375,150.06265773799998
Non Observed,0.0,0.8020176880000001,13.295072467,,5.890130366,,0.44615606700000005,3.37074405,11273.049209547,,0.17858619399999998,13.119200415000002,7.040104882,0.445421893,4.102488288,3.5711712639999997
Other Non Forest Natural Formation,,,,,,,0.0,,,0.35598948399999997,,,,,,
Other Non Vegetated Area,101.14757674799999,6.1440888,10.440145289,0.0,891.047828433,0.0,1995.4922690080002,257.317428829,0.803157667,,112910.15342117,9232.292699624999,541.927813666,2112.488568144,0.802553174,86.283360646
Pasture,68105.340013374,0.0,13.828942327,33.816727385,14276.246375923001,0.087725201,84651.4707612,132823.694138027,2.766269776,,5856.925507875,21738269.94006227,1503.498900467,3120.6752328630005,0.0,3580.2062694
"River, Lake and Ocean",19.056787110000005,137.889742638,0.9800780339999999,0.0,2017.9610190700002,0.0,23896.648049168,10284.435557907003,5.438771667999999,,55.684817112999994,1863.650911028,485105.13874972507,358.07912037499995,0.17809409199999998,1.593369116
Rocky outcrop,24.103555784,2.5832370659999997,4.720109168,0.172738983,579.84325279,0.0,1051.43618921,2119.6864536949997,1.247613812,,571.410509029,3020.0473076199996,776.8972981140001,73109.62369674,1.870263842,26.865074003999997
Salt flat,0.267114838,6.682877349,0.178098956,,18.99387638,,2.408224884,6.7741316529999995,2.0528617679999996,,1.068482312,0.178080145,4.189598803,0.62336319,15219.517073,0.0
Urban Infrastructure,0.177941943,0.0,22.016801289,,0.354699915,0.0,2.123967596,1.7684175110000002,0.0,,0.0,1.411382404,0.0,0.0,0.089206097,272696.001752
