,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1146302.934736038,0.0,1.06886571,0.0,355.33187346700004,,3121.206497176,3753.900356602999,0.0,,9.678818037,19426.78194621,4.497728528000001,3.000749017,0.089037732,8.995506799000001
Aquaculture,0.0,26063.043626,56.12174476,,44.054577509999994,,47.90970120000001,23.692770082000003,1.96007876,,157.530517447,0.0,61.49942371,16.924012979,13.824611072,0.0
Beach and Dune,12.119360076,0.8906763120000001,110034.23709000001,,3.2135648010000004,,265.76386328,45.978719315999996,10.437634064000001,,14.191420464999998,51.765895022,3.2959111450000003,21.821579281,2.050921661,7.133133349
Forest Plantation,0.08639426900000001,,,1502.9537677,0.0,,0.43657100800000004,0.7785821589999999,,,0.0,0.17384323200000001,0.0,0.0,,
Grassland,281.6593732470001,0.8030813539999999,1.3381541140000002,0.0,3016571.596188499,0.0,33858.528671786,20679.99303194,3.3915473879999998,,559.42302575,20652.665795068002,355.085756666,1464.716396958,72.5567335,53.53585567100001
Mining,0.0,,,,0.26433313,3435.91219278,0.26585795900000003,0.880510516,,,0.0,0.35195424200000003,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,73155.65770782,0.712539966,118.07487101,0.261595148,20694.286751026997,0.08810800199999999,8590647.803496862,183565.415652751,0.624860455,0.0,3469.558969859,228207.16598,8182.111089091,1617.1294176020003,1.2482155819999998,1296.2898652459999
Natural Forest,18929.158553657006,2.9437765880000004,27.853495013,6.540147425,34006.04499614699,1.0488412409999999,221102.17556542097,52800282.83406071,5.166235089,,1192.0729866260003,240515.073704317,15019.077667713998,2382.544214907,26.573104829,251.52084055599997
Non Observed,0.089276575,20.440242168,11.154681615999998,,2.231457916,,0.711010706,6.058983221,11437.18121207,,0.535361481,17.134816629,8.559320459,0.0,3.3009212530000003,0.17850199600000002
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08898590699999999,,,,,,
Other Non Vegetated Area,48.452363703,0.178328778,3.302195312,0.0,182.065209085,0.088110669,769.1271853300002,284.758342147,1.07068816,,78054.95086018498,4648.847992489999,65.985138745,414.718555741,0.356207214,36.407006046
Pasture,62911.177979239,0.0,4.364703796000001,0.08639491,8997.022204836,0.176227075,127469.408484,138897.149319716,0.35025628000000003,,2447.00562634,18093060.457200002,719.020179475,137.280094451,0.712331775,477.92297675899994
"River, Lake and Ocean",9.367944464,232.413942843,0.8914724190000001,0.0,1896.6028509940002,0.0,10144.728350477999,30407.879867107993,1.337344898,,909.8085518969999,9711.854090582,606651.3888267239,211.63930827099998,5.257249981,1.141345801
Rocky outcrop,1.1468896979999998,0.44538824400000004,0.0,0.0,230.564211345,0.0,860.8741190699999,1075.0821652179998,0.0,,167.164619479,1082.3937261859999,389.366441889,51349.99728080099,0.08913075599999999,6.032227495999999
Salt flat,0.089038586,1.782690392,1.337182196,,29.667304373,,2.0485163269999997,12.392897056,4.729280273,,4.986778461,0.089035535,7.138309521,0.712383972,16747.919842,0.356862543
Urban Infrastructure,0.08845631699999999,0.0,7.930121441,,0.17561920799999997,0.0,2.9164314580000004,1.601465418,0.0,,0.44431469700000004,1.845532704,0.087851062,0.08870089099999999,0.35689904200000006,142437.521561
