,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1361279.2899703025,59.762305241,107.914509018,4.924757111,5668.8834841319995,,17964.918774131,22057.693860614003,0.0,,132.417845332,51077.15715950201,36.881003981,47.643569606,0.089038776,1432.276330588
Aquaculture,0.0,27977.191145599998,7.480295354999999,,102.868387794,,4.819628509,42.793827211,54.398291313,,0.534286414,0.0,143.15730906,35.353120786000005,99.550203031,0.0
Beach and Dune,145.394961411,856.4277445,96441.39631,,523.70213517,,3284.9629737000005,250.20608633300003,488.68621915999995,,76.58498164699999,388.3148115,472.42035603,216.142357622,56.992538419,1029.31542441
Forest Plantation,0.6917141790000001,,,1439.9881292,0.0,,0.0,3.8863724980000005,,,0.0,0.694069061,0.08623018800000001,0.0,,
Grassland,36014.396063543005,1044.4868981,180.41020824199998,10.066251666000001,2810118.5774963056,11.20405328,143636.8994247,47003.47353071901,8.567560974,,4848.705312455,138650.00645341398,1696.2343919660002,2660.0596928539994,131.85103906299997,1571.5203290650002
Mining,0.0,,,,106.79902312800003,3186.78389485,5.0043060310000005,96.14184918599999,,,0.353613049,4.1046173349999995,4.136483417,0.0,,0.261293506
Mosaic of Agriculture and Pasture,157871.20718538403,3459.6505893109997,2405.40463678,76.211517182,219795.264455924,41.170564647999996,5541664.3333,925210.7877734089,0.803116675,0.0,4987.094669052,1370076.5401100002,7863.87265198,2926.791121987,51.85652115,25836.113910000004
Natural Forest,316091.62676235713,1704.66897282,1046.296662267,2191.33935901,34897.104099997996,307.379702366,818973.354990605,48481537.623101294,41.383491655,,2722.466989375,3032013.4310055203,16587.680912807005,6703.486038209999,145.285292285,10906.260778632999
Non Observed,4.638683252,177.02346561,108.43520709,,15.074985891,,1.071350616,47.114806149,10473.7933363,,0.26763565699999997,91.326200701,13.287454304,0.623680219,29.724044191,78.546518044
Other Non Forest Natural Formation,,,,,,,0.0,,,0.177998706,,,,,,
Other Non Vegetated Area,1607.7120523980002,898.8278601200001,89.51992152,0.0,2882.9886394610003,0.0,32925.811210904,1648.2661792120002,0.178346631,,115433.72619183302,17127.160556575996,366.552341381,2668.7852079310005,21.729240019,1277.525365642
Pasture,516584.323883388,374.98095055000005,450.77109113500006,383.47244635000004,66899.93671798399,25.34660513,556223.9437760001,1236322.1888812706,17.968592517,,14237.207224331996,16954649.325951226,5393.75794817,5764.641875734999,4.185233752,39230.096633
"River, Lake and Ocean",163.234635964,932.6153444050001,150.19783952,7.500493469,2548.838881484,6.427432587,34901.5198355,47547.406342400995,13.09819259,,1034.252963605,23205.0221238,525994.127670486,725.4866272880001,12.918711294,57.01909213
Rocky outcrop,439.402043399,950.5702863,91.49879185,0.0,4741.645840197,0.0,3116.73551435,6760.2686982489995,0.0,,4684.716096427001,4270.996214769999,226.88440097300003,58958.0129056,43.780480891,58.875727717
Salt flat,0.178074725,776.94997602,105.92723794,,283.0906172,,24.792238548999997,281.749842172,53.347920384999995,,21.921923966,0.44527013000000004,44.86306981999999,56.548631939,15308.242213000001,18.377526628
Urban Infrastructure,0.088696021,6.249005945,63.112034034,,0.088218243,0.0,0.6226001350000001,2.13257863,0.0,,0.0,0.529715985,0.17842204600000003,0.0,1.070530493,163519.251502
