,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,784753.4167366741,0.0,2.1423097230000003,0.0,82.58616425299999,,2154.936022799,1062.6344565660002,0.0,,12.934863605,13373.43706208,4.498768469,1.663198468,0.0,0.35333873899999996
Aquaculture,0.0,26888.5001762,29.042141619,,5.356456494000001,,82.49020917,213.785102469,59.899250499000004,,20.74948974,0.17822063600000002,134.05858039999998,0.0,44.997932842,0.0
Beach and Dune,0.0,0.623401624,106876.46230000001,,8.733309186,,1023.2149741200001,338.74062658699995,27.300235454000003,,30.162011905,144.438746991,1.4252997200000002,0.0,0.713570801,36.251003849
Forest Plantation,0.0,,,1071.1730938,0.0,,0.0,0.086413361,,,0.0,0.0,0.0,0.0,,
Grassland,71.487155143,13.198831933000001,40.530165148,0.0,3216026.8886447297,0.264345398,75488.96418515501,33370.678511763996,4.282669519000001,,637.9543087119999,20280.565342176997,1734.4465579639998,7429.75060752,58.88846408599999,10.057518242999999
Mining,0.0,,,,0.176218945,3471.8039056300004,0.354433441,0.44427988999999996,,,0.0,0.08677214400000001,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,4560.025320644,104.906507142,450.08468023899997,24.604917083,33574.403573637996,0.790971112,9196773.433264066,201682.918223601,1.158753547,0.0,3750.18859025,266894.396948,9950.183755319998,4003.966265201,2.138332831,353.167835297
Natural Forest,1870.5093012220004,76.592269242,320.818900172,337.5077146,28004.342607677994,1.493473974,290211.6172585891,54209676.909699745,3.83249771,,4864.143761606001,235786.862577753,7434.064594388,13708.023537362,79.36134920700002,131.47947034799998
Non Observed,0.0,100.989108661,64.269953792,,0.178585529,,0.8916198,20.795936391999998,11497.143775586002,,0.5350672,2.2085795279999996,4.904308868999999,0.0,35.882617746,0.44266394600000003
Other Non Forest Natural Formation,,,,,,,0.0,,,0.355954327,,,,,,
Other Non Vegetated Area,85.57112720199999,180.596982756,153.82471476,0.0,508.34312398300005,0.0,13633.061484434,1096.2922514030001,0.8914960329999999,,143576.66444617303,8246.142339991999,423.22588910400003,359.16940318799993,2.404516693,3.0995662349999997
Pasture,18074.565146325,0.0,6.322550622,56.86388021,47337.5590169,0.0,86859.36550700001,160661.492022204,1.227411639,,22677.303185743,15851679.155299999,958.163183264,8347.093317799,0.0,194.31196953300002
"River, Lake and Ocean",0.174843835,364.20459903999995,142.777393126,0.51818042,524.4606651779999,0.0,7228.79957501,24836.068865143,1.515059485,,242.337285995,1217.9772480830002,808145.686995016,248.432872887,19.990415542,0.351430054
Rocky outcrop,3.6043507750000003,0.0,18.25632858,0.0,607.7447470120001,0.0,3391.2749444049996,4854.847623136,0.0,,1722.298813411,7241.38807888,314.27398256000004,86137.01077457001,0.178350385,0.0
Salt flat,0.0,181.66556768100003,10.262046088,,59.15941243,,4.278631738,144.20354379900002,6.60281026,,0.267481354,0.089041187,2.495553174,0.0,17700.071749,0.178492218
Urban Infrastructure,0.0,0.0,4.9039249080000005,,0.086234241,0.0,3.284664674,0.26762637300000003,0.0,,0.44045251500000004,0.617927564,0.0,0.0,0.356835339,105908.82894400001
