,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1825768.0416788936,7.570711182,125.103758121,126.35565718999999,2273.293236781,,17564.452338104995,21490.054181708998,0.0,,50.049419857,49520.72200909299,20.932731373000003,160.19335501600003,0.0,1611.9373925650002
Aquaculture,7.839241198,37212.6248602,6.144711052999999,,135.72678824,,46.501646399,128.04209808000002,51.74356998,,23.064322118,6.589704181,302.215707484,46.12848667,33.594209164999995,1.425890876
Beach and Dune,150.721940809,242.03305310000002,85895.69126,,321.01292303,,1410.72842033,135.051888789,362.53177798,,60.681238019999995,561.70145398,413.6437667,164.57327233399997,16.067104384,775.60414536
Forest Plantation,144.73203825000002,,,2572.6060906000002,0.0,,7.342058832,60.413629827,,,0.0,27.276419962,0.0,0.0,,
Grassland,23892.465339447994,271.33220769999997,64.32848146,3.9186666320000003,2524535.9079337097,0.08810589,66019.75570821001,41869.88300616501,11.689722247,,2626.795901599,53230.393689431,1045.340437037,4805.145608457999,53.547713724000005,384.42717116299997
Mining,6.341640814,,,,87.068331699,2731.3057407700003,304.30705359399997,94.383840595,,,40.34316627,98.15893187399999,19.00819939,1.323112812,,95.927719554
Mosaic of Agriculture and Pasture,157067.046125838,1967.715561798,3989.8216644,156.54175247999999,331144.60271185107,1.6634460880000002,5721578.529321464,615596.5010827499,1.070032337,0.08898911699999999,18157.213414472,1290432.711501013,4727.16786969,4230.46615382,35.596552511999995,28410.902654330002
Natural Forest,198006.74359248896,1003.724574745,64.008682956,1270.0796620279998,51493.115112344,39.67398713,640478.0262862368,48757977.83242724,39.879233797999994,,2835.8566484450002,1769559.9266288097,12031.753115653004,6980.217870787,98.876554108,6758.640777087
Non Observed,0.265650384,58.852519086,89.633212248,,16.682025936,,1.428274841,30.404504613,10911.407697361,,0.981966406,59.70672543,20.604848207,0.17813042,41.753048045,52.584656710000004
Other Non Forest Natural Formation,,,,,,,0.0,,,0.178021887,,,,,,
Other Non Vegetated Area,2612.496226484,279.930892886,295.92211218,0.0,1611.992312297,0.0,12833.314714885,2780.1836110420004,0.62334364,,144717.280097589,19764.848033659997,396.42510023899996,5216.308872623,15.941437162,2151.487463984
Pasture,478598.25361847,445.508001941,875.9818349500001,501.65383992999995,82273.79429805,1.4810747069999999,762666.9785620001,878416.86798641,54.341716768000005,,14890.918662092,18160874.769499995,3460.4653748099995,13454.310059696996,0.08928579699999999,30389.076098499998
"River, Lake and Ocean",3812.0843779500005,546.1871813600001,380.85101087299995,10.716428132,4546.0507929430005,0.7915838620000001,61048.292677330006,99710.871727747,9.890493016999999,,1104.1683660009999,101951.0654679,661391.196395285,1562.72015938,5.797526537,68.674442426
Rocky outcrop,401.401763557,61.397822469999994,7.485703046,0.0,2428.340967091,0.0,3407.3097436650005,4928.655141475,0.0,,130.56317275299998,3955.6686705759994,158.990990025,60095.9338304,2.318889984,87.812117641
Salt flat,2.93821308,612.33997692,24.064322934,,415.84632451000004,,31.391920089,102.20784787,27.289984853,,28.335484023,1.337652734,58.030035478,70.61592604500001,14779.517969,11.23950018
Urban Infrastructure,0.35359804,4.909932452,49.214335866999996,,0.26667032999999996,0.0,0.886797364,2.572654877,0.17842617800000002,,0.0,0.970593347,0.088172314,0.0,0.44605103100000004,202527.15737
