,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1030756.475378037,0.0,1.426436652,0.777550031,67.803550773,,2111.176887187,4636.688946651001,0.0,,88.372197448,2927.659878857,0.17402733199999998,17.368258175999998,0.0,1.240176398
Aquaculture,0.0,27450.066671499997,17.988470052,,4.106526758,,6.861028443,73.051525472,59.004694402,,0.5351017699999999,0.178247131,15.589066842,0.8912258359999999,35.825717546,0.0
Beach and Dune,1.515368421,1.158665162,106735.01919,,6.694160962,,543.2247214910001,85.79242391499999,38.27776378,,101.635526739,75.84645359299999,4.2795402639999995,0.445700958,2.40561936,11.322782757
Forest Plantation,0.0,,,1621.2261095,0.0,,31.697748447000002,9.427460126,,,0.0,0.08639661900000001,0.0,0.0,,
Grassland,129.01170311200002,26.316876049,51.33818241699999,0.43197988299999995,2942115.2088222005,0.08812033699999999,25275.581616740998,33772.018813048984,1.4281309199999999,,511.84972958699996,10461.01748535,265.350039633,1127.4983683750002,42.19846872,6.330250817
Mining,0.0,,,,0.528685187,3477.8279358699997,0.786842054,1.403249664,,,0.0,0.08792926,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,17711.657339933998,29.046752933999997,446.66284252799994,1.2191038939999999,18458.403146705,0.08886716900000001,8685991.630380727,306588.4893791449,1.9632225280000002,0.0,4917.713950591,129412.311361,4904.00741706,3065.71269714,4.012926984,1176.840391065
Natural Forest,4355.360724693,45.158708342,441.93468259700006,4.499158985,42026.284840324995,0.964141528,269934.234947655,53176147.40900439,5.169683428,,1055.5032090509999,195617.598972026,11862.638247280998,3664.9501579519997,34.953347134,140.06949057500003
Non Observed,0.0,18.703903741999998,55.335043942000006,,3.836932617,,0.977697217,28.996192059,11266.254638409999,,1.78414889,0.7883127560000001,2.051251166,0.0,7.492923016999999,5.535698297000001
Other Non Forest Natural Formation,,,,,,,0.0,,,0.178004785,,,,,,
Other Non Vegetated Area,77.88855543899999,0.5348623589999999,179.82214370299997,0.0,130.993138522,0.0,1883.1638614529998,2908.6960258040003,0.357164899,,102982.864863188,1643.7211550169998,121.687600121,99.761570896,0.356440582,12.037610175000001
Pasture,28017.745988797,12.46732168,24.845101118000002,0.777540717,20871.57986679,0.086925684,211599.75357499998,294371.821181296,5.082414807,,17579.987587052998,17488416.0417,2471.558733874,10801.577919113997,2.048035059,931.1069176000001
"River, Lake and Ocean",0.0,282.72234469299997,148.788893191,0.172143732,6098.595963976,0.0,30659.325533389998,33406.122032362,4.545730835,,1452.258801588,9887.470012368,640931.7578934049,426.399208619,12.937233881,4.318364191
Rocky outcrop,19.489216441,33.218719761,1.425482837,0.0,3245.161602373,0.0,2308.9003786910002,18290.022796139998,0.0,,88.13505545000001,2193.198556009,207.56631184100002,101902.062779398,0.35627036700000003,0.621396594
Salt flat,0.0,18.972046324,3.1239596739999995,,100.6223075,,2.851547913,68.987575008,41.687241276,,5.533336261,0.801376465,4.988420849,0.890631012,17479.940658,0.267627057
Urban Infrastructure,0.0,0.0,14.792329418000001,,0.175200836,0.0,2.2146285039999998,2.5768454949999997,0.0,,0.355369867,1.136688538,0.0,0.08736375099999999,0.267635236,121153.02401900002
