,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1395169.4884588933,6.2326287780000005,17.292898893999997,0.5183602660000001,890.786779127,,2504.0463494680007,2793.8545949570002,0.0,,48.532425052,14862.43748424,0.0,1.66647334,0.0,5.810235145
Aquaculture,0.0,30248.8379798,5.254811102,,6.873961914,,2.048529956,3.652129913,17.230011176,,0.0,0.0,39.560233260000004,19.591653513999997,9.180133349999998,0.0
Beach and Dune,15.22704683,26.44780071,103261.35995,,31.868679673000003,,681.86231982,25.93174379,64.05092312299999,,49.530428507,68.138076273,51.999488597,149.71880088700001,8.819591577,9.358858789
Forest Plantation,0.5183755489999999,,,1455.1818179,0.0,,0.17221340899999998,2.6755153750000003,,,0.0,0.086789209,0.0,0.0,,
Grassland,798.304639853,15.349778235999999,23.476845549,0.0,3033229.44177188,0.352464038,38935.03748402501,13672.188590077003,7.3145715330000005,,653.385272614,12506.697030036996,831.6828712090002,1317.006183961,32.711328140999996,1.403971111
Mining,0.0,,,,0.440564215,3477.0752852899996,0.521129266,1.230579718,,,0.0,0.35085044600000004,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,6408.560724051,278.03637457,310.45593563,0.0,24735.251373458002,0.264418561,8106707.813356201,175165.115811026,0.44457133800000004,0.0,382.081439578,134558.16692100005,3183.8906276479997,669.3386962530001,16.478786593000002,655.406425289
Natural Forest,3005.255611326001,60.29798673,2.231027881,1.4675908020000001,20836.007728177,2.102300983,213916.53062602802,51750798.019938774,4.903025129,,380.130972074,238115.00670909704,11244.79677992,3683.5314055589997,28.636325031000002,60.401501757000005
Non Observed,0.0,4.818086835,30.876207151000003,,6.781818225,,0.356984711,3.292593067,10968.5905886,,0.44575833800000003,1.5126428219999999,10.515141046,0.356223798,7.673448132000001,8.660761731000001
Other Non Forest Natural Formation,,,,,,,0.0,,,0.0,,,,,,
Other Non Vegetated Area,117.617371616,284.5691909,24.369917161,0.0,199.29222878399997,0.0,17666.044992154,692.477459368,0.891494867,,161941.36405924603,11866.787360810002,125.66103754400001,176.82972892700002,18.165806628000002,50.913714343
Pasture,11518.317626063,9.08189226,97.65389904,0.519861151,8232.371574445,0.260774237,136785.584085,104695.71299506,0.797449597,,3344.839679701,19435200.5526,251.949586416,1419.849310133,0.623297345,551.004350386
"River, Lake and Ocean",0.264025476,219.2173974,3.386809039,0.0,935.8655441300001,0.0,10161.705840112,13663.012380939,4.101467944,,230.339313277,700.124732315,689142.4698085291,520.0838009639999,1.9603473019999997,0.0
Rocky outcrop,27.67365936,231.62797330699996,7.838725305,0.0,5053.8023005840005,0.0,6327.934395255,8105.619512293,0.5345305779999999,,1518.0600702939998,3879.9009220199996,360.181955636,74789.29513551999,6.951894001000001,0.445135687
Salt flat,0.0,54.500843721,16.565634539,,53.099497983,,4.544202814,9.630271714,15.081399626,,0.17832263799999998,0.0,6.956904766999999,1.068719592,16201.488141999998,0.71371062
Urban Infrastructure,0.0,0.0,22.905157654999996,,0.266096148,0.0,4.434722484,1.333545636,0.089210791,,0.0,1.3188257810000001,0.0,0.0,0.35683077399999996,168029.92099900002
