,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1870636.5133958426,10.332330188,117.435393433,158.73851730999996,1511.6400178289998,,15978.585529865999,17032.840594814996,0.0,,39.27462409300001,40174.853978187,14.621327094,110.84195078699999,0.0,1456.5113691490003
Aquaculture,0.089085736,38474.8850878,1.4249502930000002,,424.94424951999997,,71.371363289,245.957647959,60.38112601,,22.885945188,25.111888112,492.856301818,36.781432111,55.256754943000004,1.158826862
Beach and Dune,102.863089441,161.72907952999998,87436.30123,,271.06210155,,1488.6898817299998,122.751834815,333.90074659000004,,55.50247021,626.8125493,392.12772515,227.44624635899999,3.122650586,887.69717739
Forest Plantation,55.878194406999995,,,2797.3181110000005,0.0,,9.487028509,13.403002978,,,0.0,17.069397405,0.0,0.0,,
Grassland,15767.116580085001,213.34547989,50.653478941,3.832801234,2669360.306690406,0.08810589,86353.511637629,52607.07304838699,9.277243414,,4627.995651650001,54146.11525215999,883.623705315,4819.951664669999,70.633273424,494.70215619299995
Mining,6.428512262000001,,,,65.21326887000001,2714.1648473,319.28526676499996,69.99428925299999,,,45.041522856,100.419396297,26.90817299,1.323112812,,97.475248074
Mosaic of Agriculture and Pasture,150786.052770809,1528.8580599699999,3743.0513515999996,122.39503814599999,253485.86551789302,3.2511379639999998,5609391.385114614,547031.44635472,0.713473945,0.08898911699999999,14523.574505047,1236214.8404965077,6277.95919689,5844.635546762,12.130995721000001,23541.23598157
Natural Forest,186864.83815255598,800.9512633990001,79.224432159,1083.567522458,56387.78729952899,32.88881313,734256.113317765,49100462.76796882,32.657824918,,2085.494862638,1610588.2594065529,12009.954905195997,7497.897006218999,131.53327037100001,5446.1493768539995
Non Observed,0.624982733,32.295570813,68.667891544,,22.483736587,,1.7813661930000002,12.909202007000001,10961.597413179998,,1.159855573,66.26496882400001,24.880214687,0.8015774840000001,26.330558980000003,46.60267806
Other Non Forest Natural Formation,,,,,,,0.0,,,0.177976288,,,,,,
Other Non Vegetated Area,2003.12540147,164.198010436,249.05696993,0.08703477800000001,1747.3187273929998,0.0,8270.683859691,2248.8828631059996,0.35620457200000005,,153664.776854359,41318.82626024,616.423072473,6189.090862624001,2.137626404,1743.2915711179999
Pasture,457550.59288231004,134.720535961,265.701560813,431.653754401,81700.041415903,0.869869055,712534.740231,729320.02350338,42.010495412,,13942.033663477998,18235413.2235,2959.1882744900004,11685.069944969,0.0,24456.944950600002
"River, Lake and Ocean",4446.918766917999,876.029528001,566.1656501680001,9.994852655,4136.8884348,0.43995174,63718.235929450006,101536.699458608,10.875518957,,1093.2749016500002,105594.21952690001,642796.389061072,1333.9567043950003,13.743230934,44.52546191799999
Rocky outcrop,771.3522207550001,7.925779462,44.089931143,0.172738983,876.671750352,0.0,956.9982829130001,2539.188522488,0.0,,659.7604359249999,2733.523635421,72.60852735499999,48038.13111786,0.0,31.734952358999998
Salt flat,3.6505564269999997,497.18346312000006,19.434947253,,618.4175779699999,,29.775882748,100.48714253399999,28.454294993999998,,38.217943192999996,0.534628906,56.439603528000006,57.802210087999995,14655.985607999999,6.153161169
Urban Infrastructure,0.088248096,0.0,36.197913375000006,,0.712754138,0.0,1.597578337,2.7460581290000006,0.178426019,,0.0,1.231582843,0.267643274,0.0,0.44612644,215636.60226800005
