,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1474035.8546357632,0.0,30.997821640999998,8.466804755,1876.152152309,,12057.791577951,16885.791164790004,0.0,,175.77068498399998,49432.679015095,22.780981423999997,18.36648776,0.0,176.20390417200002
Aquaculture,0.17817703899999998,34654.8537554,8.103732556,,12.399908618,,71.595529102,41.268324733,2.228178827,,61.35264629,0.890522626,338.86192802,8.370662756,39.147173432,0.0
Beach and Dune,104.31975845000001,69.702290016,93801.62829,,102.516559878,,4448.4109095,109.18913655899999,140.22901853,,254.67297471999998,389.89820475,705.1644719200001,54.245940352999995,22.94084324,82.674634326
Forest Plantation,44.652260376,,,1738.5164044,0.0,,0.776628101,1.814058764,,,0.0,1.037583301,0.08607236900000001,0.0,,
Grassland,8031.771666105999,355.95465072,39.793964506,0.0,2702289.7325355997,4.49295282,97673.20885012,31424.236253413,23.110608810999995,,1366.487577584,58195.096710833015,1499.731110924,1635.18817505,230.53348662,186.183416941
Mining,0.0,,,,5.022395349,3428.9268681700005,20.138982560000002,33.604512737,,,0.0,5.487580359,0.263565759,0.0,,0.262990308
Mosaic of Agriculture and Pasture,82331.635551708,1538.6377519,971.14329262,17.060448942,116787.61576485902,1.8376241219999998,6452163.582158744,673619.607851332,0.624708044,0.0,7602.527971816,889586.1063900001,11072.9226494,956.9678811300001,50.387440921,9284.62408565
Natural Forest,67365.902297654,593.2428351970001,100.612192946,846.8336482569998,38700.270435112994,108.63566211199999,627495.564150845,50044060.22145031,6.682544836000001,,3797.610303601,1195692.14505805,20474.069810035,3027.1784930330004,97.106123978,876.1348006879999
Non Observed,0.446382349,95.68448374,95.89894587,,9.722384985,,0.802515173,9.626710968,10991.249685559002,,0.26762960199999997,18.833667763,10.966379395,0.0,14.993654237000001,15.527380416
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08899724099999999,,,,,,
Other Non Vegetated Area,2329.8347622209994,222.900334203,43.454399007999996,0.0,1222.209609866,0.0,13114.737675390003,707.8793179840001,0.713602967,,159069.708052041,12412.71154682,714.4274442589999,3372.858614238,21.48348065,526.9488777529999
Pasture,240955.42844748497,67.60046058500001,187.26186549,96.77801531,27119.655850777006,30.509143778,741229.9044750001,789475.718196954,17.366363531,,31572.675442170002,18174646.56822679,5491.126176556,2593.396068014,0.0,7120.72458115
"River, Lake and Ocean",0.443336292,899.334033183,199.91842505200003,0.0,818.8883012239999,8.807031659,7732.401058400001,18617.801849638,14.437814953,,1023.152912313,6815.574797120001,885579.236920954,235.141737999,94.509508572,5.612368718999999
Rocky outcrop,129.181054466,108.56842516500001,55.925077767,0.0,1870.8321974510002,0.0,4052.7402039199997,3931.27571296,0.267210638,,974.250088085,3038.2667618300006,162.446341316,51999.68645992,2.048885102,16.149331445999998
Salt flat,0.0,114.843024318,36.512197013,,100.301677189,,14.694969913,129.612299915,26.949773065,,16.295917215,0.0,13.721845276,0.712395447,15798.661468999999,1.0705503170000001
Urban Infrastructure,0.088645599,6.338277197000001,130.38973257,,0.44531459900000003,0.0,3.1063125539999996,2.58193432,0.267662744,,0.0,1.850567079,0.08920170300000001,0.0,0.8920876590000001,181780.952807
