,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,921806.3741379301,0.0,16.923622746,42.938239709,5253.376182401001,,19047.937044910002,12259.524489953,0.0,,336.9031316349999,81714.259932417,8.938609834,33.07504924,0.0,88.912826068
Aquaculture,0.0,26154.871035300002,244.46658302999998,,84.53805825199998,,22.891427252,92.46947936699999,86.424334235,,23.15265176,0.0,130.416384022,645.4105176099999,179.45780158000002,0.0
Beach and Dune,271.79464188,243.42687811,102188.82711,,186.27669292299998,,3214.9737385,174.34479792000002,142.71062416,,122.5425465,353.0355191,118.80053113000001,145.84249995,52.74026465199999,392.30207613
Forest Plantation,0.345579645,,,1523.0370989,0.0,,22.59610491,47.970596621999995,,,0.0,68.40217939,0.086155414,0.0,,
Grassland,7306.010802282998,389.92166491,107.3755655,0.08639597800000001,2724803.4942170004,1.321865747,120901.989700182,44959.077441161,3.0343598700000003,,2859.4424106799997,109736.67424194,864.8502965989999,1194.3829501900002,104.49947097,553.506787795
Mining,0.0,,,,4.229404712,3453.9428910300003,12.072966199,8.274221520000001,,,0.0,2.02704541,0.08811298199999999,0.0,,0.0
Mosaic of Agriculture and Pasture,134174.340418241,501.22815019999996,2036.4274509860002,0.259244684,180565.55515525,10.25946432,6648769.504940729,876363.776930814,1.427824854,0.0,44834.988003608,1245242.5492899998,18726.954324540002,10719.178001728,21.319054311,10741.99101487
Natural Forest,107772.00021237701,488.131252801,754.840583581,4.834417913999999,66607.785257574,62.196643149,1136830.159848603,50457023.59097174,8.647716138000002,,4602.108910705001,1872788.4811207198,48619.76370221,4570.517710799999,88.192842773,5115.4800331040005
Non Observed,0.532576697,143.20562924,192.68601664999997,,24.002598476,,0.623131018,82.177710575,10815.80668466,,0.446051563,61.277402651,12.833614642,1.6933184319999999,40.583372379000004,15.888634425
Other Non Forest Natural Formation,,,,,,,0.0,,,0.178004785,,,,,,
Other Non Vegetated Area,428.85521617699993,145.15615056099998,243.34509952000002,0.0,1099.89763806,0.0,3465.7796601030004,1213.3186121169997,0.8030232480000001,,84654.430262664,12610.682003446,290.35595681,5660.186975094,0.9804914730000001,228.093901659
Pasture,169016.76854580402,285.54766966,240.798467189,0.603355145,59514.124335983,0.611521466,824522.4503,999774.8945352901,7.3529981079999995,,25712.469101436,15967862.986199997,11145.38555807,4227.496960216,5.966006018,12789.0233986
"River, Lake and Ocean",18.873895479999998,766.7822012900001,347.115587722,0.17302806399999998,6641.812971669999,0.17622000100000001,23583.73412381,35083.850749881,11.765781403,,1877.511732786,22124.744961100005,632103.031011063,674.481399863,42.968769671,38.391643544
Rocky outcrop,451.14064727899995,210.0375804,42.310690355,0.0,4512.043730582,0.0,1814.2117670029997,12136.664081281,0.0,,904.139110859,12259.262770829,409.5944997529999,95535.60696359801,6.948495483,8.198223408
Salt flat,0.0,158.84777624,75.40905950300001,,230.41758122,,18.988214569,315.16017918,33.82468842,,15.149659312,0.0,42.044795331,51.67420528,16779.745809,7.404759247
Urban Infrastructure,0.0,0.0,22.102926854,,0.26764751600000003,0.0,1.4138745670000001,0.7131879520000001,0.0,,0.0,0.8780509950000002,0.0,0.0,1.070519714,121148.18386800001
