,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1449811.7660080383,0.0,10.613980810999998,1.123140765,342.63241751299995,,1668.7651751919998,2517.7926842779993,0.087742499,,28.847625265,8809.68442357,0.532583502,2.2043456910000003,0.0,2.666401758
Aquaculture,0.0,32232.9793729,1.424918036,,36.396741956,,4.542441924999999,30.105302370000004,2.8533748660000002,,0.089048474,0.356211499,68.578210844,7.213413025,18.795527383,0.0
Beach and Dune,33.669479056,2.049756635,100840.4024,,13.207090862000001,,365.71515614000003,23.975601815,27.737884534,,26.848749907,78.94446201,133.71025083,41.679561747,3.9187834049999997,24.877789887
Forest Plantation,0.0,,,1550.0558317,0.0,,0.0,0.346608221,,,0.0,0.08765949699999999,0.0,0.0,,
Grassland,1046.2120122249999,349.769781199,29.281359953,0.0,2888134.366772209,0.176229871,52362.68098855,23798.889200193,4.995964978,,1122.3833784830001,17867.674257694,503.21812657,1305.318095324,62.51613792799999,6.8882394719999995
Mining,0.0,,,,1.674128394,3532.8854506200005,1.1390884710000002,5.891577807999999,,,0.0,0.874974463,0.088110809,0.0,,0.0
Mosaic of Agriculture and Pasture,19903.614743615,856.880788195,313.46240301,6.98014748,47780.710985923004,0.088246301,7918356.787739512,147201.020496976,0.445791784,0.0,6015.836933328999,155948.911209,6564.50553046,1792.482349028,4.100186493000001,700.4776833210001
Natural Forest,6001.668362860999,56.75928896199999,3.120884321,102.13357061599999,12587.174249073001,2.1943227289999996,189675.36239013998,51526629.602334395,5.075936384,,2490.5656546030004,114020.62927986601,7154.75202139,2676.2594608310005,5.257825799999999,20.809701794000002
Non Observed,0.0,46.600480723,21.678470413,,10.262230908,,1.517546069,4.009255596999999,11161.229330451,,0.44548822700000007,1.850711176,6.236881214,0.267174664,3.567519593,0.446112787
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08899724099999999,,,,,,
Other Non Vegetated Area,107.28547894,27.125317635,33.734519395999996,0.0,1729.2417190709998,0.0,1210.5704444100002,839.7390839589998,0.267190967,,150338.643999832,3506.840267206,120.435612662,396.91472547700005,1.514990362,52.238991344
Pasture,35162.712657501994,0.800780365,128.11224218799998,13.132201043999999,9155.688377358,0.348391364,93792.63800100001,202596.516456743,1.066164307,,8180.346556438998,19766726.646551203,1328.4703999109997,1328.651029266,0.0,501.7342578800001
"River, Lake and Ocean",0.35353099400000004,782.73534617,52.044793238,0.0,1106.165937506,0.0,3133.7716246769996,17124.112443061,3.032091675,,855.0062674440001,181.22958811100003,924708.7352162311,398.07773432799996,15.407652434000001,0.0
Rocky outcrop,29.038295308000002,31.53434967,5.432980731,0.0,2906.3952085580004,0.0,3387.337943356,3689.236970497,1.6924621830000002,,1102.511783028,2324.4522560810005,256.405895185,59963.43132876999,0.44566739499999997,1.777936999
Salt flat,0.0,210.793645794,1.1591996519999999,,38.332698706,,2.942640039,11.137246160999998,11.414195551,,2.582214093,0.089041589,6.679895593,0.5342915220000001,16092.513686999999,0.1784146
Urban Infrastructure,0.17839353000000002,0.0,13.098104303,,0.17745287399999998,0.0,2.6569767029999998,1.3312750469999999,0.08921558199999999,,0.529822961,1.5854160829999997,0.089207019,0.089204547,0.178428375,177125.068478
