,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1130543.9928781649,0.0,1.514216693,0.086398969,235.827196709,,3535.3118561130004,4676.373991589,0.0,,1.688156476,8673.963570272,0.534073413,0.176694012,0.0,0.351752338
Aquaculture,0.0,26794.2606991,81.671429193,,7.585760632,,399.674676142,136.429807658,24.782559061,,7.747182391,0.35618085899999996,534.190412467,10.334934631,36.077853489,0.0
Beach and Dune,0.445357086,0.801521545,112174.45494999998,,3.567304163,,445.68673066,244.64399815500002,36.684068834,,18.476717748,16.055054759,4.8110998590000005,0.08905059800000001,2.228615155,18.630019646
Forest Plantation,0.0,,,1521.1625832999998,0.0,,1.312514551,4.9165936949999995,,,0.0,0.262831763,0.17231060199999998,0.0,,
Grassland,94.679732787,0.8908940729999999,3.300128399,0.0,2914551.7473445595,0.0,36814.321311697,15043.460356293,3.3906893559999998,,213.083577692,21003.54990467,320.304339885,284.63594464700003,70.721944454,12.587252703
Mining,0.0,,,,0.704915698,3464.8948130000003,0.6087184939999999,1.7600216429999997,,,0.0,0.528886194,0.0,0.0,,0.087663324
Mosaic of Agriculture and Pasture,13116.686105349001,3.829200531,191.49895903700002,0.26165378400000006,31163.840543691997,0.612071899,8652697.254322497,155455.421875287,0.35690152,0.0,701.425430512,214498.273417,3936.3397529250005,323.305507101,1.692900861,509.133606766
Natural Forest,1393.208485809,4.542657819,60.428320449999994,1.812355883,47580.03514021899,0.963339526,309086.22551332903,53229777.469798446,8.641577441,,460.558850569,261381.597107386,24290.952740315,1741.972275743,26.316671680000002,283.957603283
Non Observed,0.0,0.356222473,19.713804088,,1.3378980349999998,,1.2481639770000001,17.046228638000002,11392.69702803,,0.6239521180000001,0.707654877,10.160499945000002,0.0,24.544708597,0.178261469
Other Non Forest Natural Formation,,,,,,,0.0,,,0.0,,,,,,
Other Non Vegetated Area,17.223941242,6.410942499,17.294137453,0.0,455.178173959,0.0,3525.1098388610003,522.0045723679999,1.694715442,,83070.590129172,2463.996238831,522.8695966960001,756.098662095,1.158869531,0.443165827
Pasture,17686.307433607,0.0,20.925457985,0.087693799,9673.648502432,0.086926361,109578.582491,188716.44534132298,0.615210528,,4648.230168094999,17661602.202699997,9825.890920985,513.0480099040001,0.5342514829999999,259.68667747300003
"River, Lake and Ocean",0.620045105,178.727463501,10.155049798,0.172144855,1469.995958681,0.0,21709.14824793,23350.081819918003,1.1585041630000001,,79.78388280000001,1490.661925262,655765.752941743,374.76841677100003,3.119613086,0.265311627
Rocky outcrop,8.445972089,0.712428949,0.5345079530000001,0.0,725.922506431,0.0,2291.50507777,2189.326850782,0.0,,204.855947562,741.894555816,282.089302554,57354.24186753401,0.089103516,0.0
Salt flat,0.0,9.261157177,7.482105383,,89.046371018,,2.4935759519999996,20.497113519000003,7.403116334,,0.8016407719999998,2.047924939,3.5646705679999995,0.0,16567.648316,0.08920993
Urban Infrastructure,0.0,0.0,2.138866974,,0.08739315800000001,0.0,3.6399741449999996,2.580128119,0.0,,0.08891535,1.6714765820000002,0.0,0.0,0.267627405,138814.257133
