,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1897665.1905984143,4.2753070740000005,26.469081067,93.01703892999998,646.683756874,,5662.518058394001,7716.773062067003,0.0,,24.781419332,18587.712743622997,0.7104286500000001,79.692147072,0.0,1210.815052885
Aquaculture,0.267225641,40811.994446000004,7.213204199000001,,508.37757737000004,,101.759564419,243.710837396,74.208604851,,24.400500588,29.481237139999998,550.603907744,49.694308208,36.03511963,0.534978705
Beach and Dune,318.112004235,159.34697501,96913.72954000001,,282.95863656,,2335.7412458,411.08424203899995,311.087187049,,113.70435915,1270.643403,484.5858545100001,531.575009549,8.387106434,794.98881237
Forest Plantation,55.100179720999996,,,3164.370809,0.0,,4.318364557000001,55.500925206,,,0.0,8.926254333,0.0,0.0,,
Grassland,17825.543213081,161.313421396,29.837033784,3.744411878,2999678.4858260006,0.176221045,116470.277234186,71928.876602951,10.258147431000001,,9952.65757285,70241.01975099,1491.9451043039999,3668.2443224209997,57.581790757,329.71553548700007
Mining,6.34163974,,,,66.88786344,2780.4574090099995,337.53862866799994,82.330037772,,,45.837675235999995,104.06831957599998,28.77284446,3.0880654419999995,,98.436215683
Mosaic of Agriculture and Pasture,164090.012143293,1415.912267727,1046.0514182,33.882224936,129882.63600465198,0.174535992,5487647.535395413,414805.7372236,0.535438208,0.0,19784.692207024,960137.808887942,8557.05890312,5972.422586846999,22.838217854,18232.95559171
Natural Forest,135817.43993571796,552.24124924,23.208046078000002,1011.17284894,54742.59816137699,19.235668412,679144.741154841,49298464.64228412,23.025040165000004,,2635.4169415440006,1123222.1439082,15096.160804871004,6620.243567652,70.788368338,2853.9458576210004
Non Observed,0.35492006200000004,12.853491212,37.721733973,,28.904865734,,1.785473047,6.930673175,10754.404896433,,1.249613037,60.57662122599999,20.774496871,0.712557239,14.458024399,33.656609952
Other Non Forest Natural Formation,,,,,,,0.0,,,0.267011835,,,,,,
Other Non Vegetated Area,879.4827497179999,100.59379783,258.31780076,0.0,1738.3588582600003,0.0,3454.303816508,1147.2754313990001,0.445262292,,105890.50954888499,18170.28288467,469.351902288,6485.30587224,1.7822831179999998,1463.440703918
Pasture,450927.58655556594,75.881530872,71.238799516,449.97791681699994,62760.66113459701,0.434344702,665025.4152899999,656351.8792882999,13.09673972,,15285.342002219997,19190190.6697,4350.923410577,11892.974958859,0.0,21994.331265500005
"River, Lake and Ocean",3303.185278637,316.151108709,199.870344149,12.831820014000002,2697.5049381399995,0.35189742399999996,50946.21335803,79645.33716824999,9.538407508,,875.923343983,76916.5234494,597393.1652836452,934.946379553,0.891062781,25.542854909000003
Rocky outcrop,145.29211905799997,11.222345227,0.44525775100000003,0.0,854.8783753849998,0.0,388.076213978,6321.775811732,0.0,,440.61440475300003,1397.8212514939999,150.317902353,52306.63488750001,0.0,22.407138148
Salt flat,6.944919434,261.78016484,5.978006499999999,,449.22257109000003,,41.261681156,83.35852114000002,34.423454588,,24.577984348,0.9800888120000001,37.539580814000004,41.320251688,14882.835973000001,5.6167451239999995
Urban Infrastructure,0.26670643299999997,0.0,23.988158652000003,,0.624514996,0.0,1.7665419070000001,2.214534528,0.08921737699999999,,0.0,0.967075079,0.266581036,0.0,0.535336401,229544.975462
