,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1304118.0165436766,3.828406628,21.672272544,12.26829984,3750.5681124220005,,15933.718509631999,27877.4898264,0.0,,326.576302231,63936.959655306004,25.507800171000003,18.261392062000002,0.0,275.799430287
Aquaculture,0.0,29760.6549221,14.070248079999999,,6.689749725,,12.736937267999998,39.230960282999995,14.016842674,,44.25664131,0.0,376.46708735,17.89899038,66.20707388,0.0
Beach and Dune,183.57744094,409.13508554,94499.42573999999,,170.179401614,,6598.861678799999,180.83037055900002,248.37964876,,385.72950378999997,331.77756028,1033.6994705539998,150.24811960300002,59.025996881,193.443706423
Forest Plantation,0.34596195100000005,,,1456.3040151,0.0,,0.086111566,1.724540735,,,0.0,0.1740823,0.0,0.0,,
Grassland,16378.57447914,694.1543324099999,99.43972360199999,0.0,2800731.85267918,5.117329065,131039.258168236,56119.40007709299,19.451421936000003,,1805.8610800299998,88381.304782927,4461.420779514,1619.1271434470002,231.94792265,437.443850799
Mining,0.0,,,,16.47701977,3336.29449842,27.351312673000002,84.28135214299999,,,0.0,14.073446580999999,0.61479856,0.0,,0.525980615
Mosaic of Agriculture and Pasture,121849.459929846,1691.85812897,1156.6956162000001,16.357339386,127403.303981096,30.441557357,6162996.520216201,912131.5928728988,0.35693031,0.0,9573.79684335,1037734.78267,64612.869283470005,1075.710493886,70.203217643,12727.355879989998
Natural Forest,121063.68147198399,628.1951238290001,180.623872097,1058.611654059,25820.045218712003,159.25937839899998,810717.1405666079,49446742.153231785,12.395309350000002,,4263.584624055,1742225.92346529,84026.70569250498,3387.4504508669997,131.970033497,1721.5713866639999
Non Observed,3.213954077,106.18128332,127.49082547,,11.146283056999998,,1.068192383,22.750503412000004,10670.706191000001,,0.267632733,43.419548989,11.768780567,0.0,13.204951983,32.662106486
Other Non Forest Natural Formation,,,,,,,0.0,,,0.0,,,,,,
Other Non Vegetated Area,1584.7366950719997,503.61475395,76.66353497,0.0,1192.717308818,0.0,22368.385944506,962.0589121200002,0.535514306,,143638.42140317798,18897.320825090002,1649.4186799579998,1519.6142538380002,13.091645187,758.404878971
Pasture,297992.07522746496,90.02399221,203.68782167999998,83.19611341,36482.95898494,36.338101714000004,783728.975257,1135844.6174167492,15.578958483,,36592.907794999,17353112.240399998,41934.727143590004,2555.6001211029998,3.2947836180000003,13432.899874200002
"River, Lake and Ocean",17.108277503,1160.896341589,118.6822588,0.08607349199999999,557.511745714,11.27132022,5034.80781522,11579.591199022,12.925451777000001,,737.3185019869998,4682.516204349,691488.3286885959,109.64637574399998,61.733551516999995,10.107785753999998
Rocky outcrop,422.22677663600007,2112.8915836,85.95842791999999,0.0,3497.069847202,0.0,5649.921060015,6876.497333762001,1.06932442,,4468.082209049,5225.495094909999,421.58549410300003,71390.80211743999,122.83641356,35.430538994
Salt flat,0.178074945,468.45800970999994,79.176737529,,132.46825224699998,,12.669794752,181.442751206,44.075919139,,16.028695983,0.08904129599999999,20.944375681,0.356198254,15402.676417,5.263383143
Urban Infrastructure,0.177863025,6.338277197000001,176.359522091,,0.178428864,0.0,3.6443754520000002,2.9355155699999997,0.0,,0.0,1.141858544,0.088172314,0.0,0.802896539,167868.95849000002
