,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,2801894.604938736,14.16477305,3.4737990589999996,5.26980813,16.483584079,,90.970158968,743.291644424,0.0,,0.0,345.90510244099994,0.0,0.08718288,0.0,58.02344990299999
Aquaculture,0.17817038600000001,43374.368397,0.35621497799999996,,61.488550728999996,,1.7841681389999997,17.294773597,15.782222912999998,,1.159044379,0.0,35.904579543,4.0969303340000005,2.943220196,0.0
Beach and Dune,143.250916422,13.449157940000001,95515.75807,,15.165639174999999,,853.29553405,183.07127454599998,56.040370812,,11.331580542,449.46123042,93.493052382,168.768297861,0.178330439,16.407287751
Forest Plantation,18.396337758,,,5249.2682134,0.0,,0.085765143,0.258928363,,,0.0,0.17346708300000002,0.0,0.0,,
Grassland,1137.750939581,94.81603565,3.211392493,0.0,3214232.0031892224,0.0,31085.76714237,51661.90502526601,12.487165674,,9357.76353971,7955.244633845,2068.693825512,3700.352538587,7.9374066889999995,4.685466308
Mining,0.0,,,,1.6782093390000001,2609.42419351,0.8706534610000001,21.169052411,,,0.43963062700000005,0.524042731,0.17597648899999999,0.0,,0.43395201400000005
Mosaic of Agriculture and Pasture,6274.9527432469995,33.678669549999995,40.493896911,0.17267412699999998,5426.5673399980005,0.087729431,5794866.770472599,20660.998332085,0.62482392,0.0,2083.691369236,10632.861466100001,1449.467991665,756.3189291690001,0.44579521499999997,246.62341630199998
Natural Forest,3984.3100433229993,214.901817299,0.0,81.415242875,57925.893679099,0.439295245,299073.826022411,50849389.27728205,0.798275366,,2075.39156988,139249.899197408,17768.630024121998,6853.3717847749995,3.4764391,42.47690611800001
Non Observed,0.0,2.853217011,10.976983135,,8.027699609,,0.7141151,1.4185902460000002,11329.816509237,,1.785379517,1.2461463380000002,9.27251875,1.068920782,4.191840679,0.44623668200000005
Other Non Forest Natural Formation,,,,,,,0.0,,,0.0,,,,,,
Other Non Vegetated Area,42.40825224999999,0.356207373,13.123188989,0.0,1292.870196657,0.08824743,4201.4498854680005,1716.063467871,0.35624868200000004,,157947.352747293,5940.698292703,331.20912392500003,1259.135982733,0.71231535,32.749452935
Pasture,23902.271880096992,18.179504625000003,13.034496073999998,1.051490869,1641.239201711,0.0,25131.833400699994,28897.140509238998,0.263285743,,3173.774228756,21458726.997933365,575.671377856,4957.385413915,0.0,936.32617974
"River, Lake and Ocean",103.63423630599999,154.51910264699998,0.712655035,6.3208280210000005,426.921772141,0.0,1567.233441941,10687.499838852,5.436733337,,316.567479028,260.360101829,598532.0949148891,686.4925070429999,0.890531952,0.08837323
Rocky outcrop,73.23258080500001,2.761457849,3.9189042419999995,0.0,1150.180448058,0.176492535,1605.9270845859999,5351.8110560099985,1.604197571,,519.1101073369999,3032.969850967,165.838816211,95546.43689520999,1.158633588,13.847764282
Salt flat,0.267109625,61.1894148,0.62397832,,85.481821624,,0.624224585,27.739149776999994,17.130290921,,8.995254962,0.0,7.577072064,3.384627149,15133.457996999998,3.654746393
Urban Infrastructure,0.26673546800000003,0.17848762199999998,14.713381329999999,,0.622058545,0.0,3.0075201110000003,0.7089304630000001,0.178495215,,0.352469025,3.078916005,0.17826524,0.265257019,0.0,299617.6083230001
