,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,1836944.6819035383,12.827274053999998,309.40755786,133.16111732000002,2660.9720640980004,,26850.915982278995,17846.960977604005,0.0,,57.237090171000006,61547.241641693996,13.021349188,50.751888932,0.0,815.0101263870001
Aquaculture,0.0,38696.31837,3.295422565,,430.308222356,,261.364067301,60.220779228000005,30.76673971,,10.507516312,83.70420841900001,204.93874330700004,60.730702234,70.860621628,0.089271759
Beach and Dune,53.026608166,83.665201877,88765.02466,,300.39951189000004,,1103.5377300999999,38.735325857,285.32231438,,55.077428426,244.69241742000003,169.26940485,170.72080702099998,2.587977808,837.94738348
Forest Plantation,18.647844444999997,,,2832.393926,0.0,,4.812342639,15.749435474000002,,,0.0,21.552184464,0.0,0.0,,
Grassland,9467.909046559,138.7353161,103.424524943,3.746424079,2696053.4040130056,1.586750012,93422.307718335,41287.00821849401,8.295931311,,3373.9338765129996,42917.962811360005,529.042074792,1688.1486090489998,81.946753914,330.77458354600003
Mining,0.0,,,,25.553782877,3387.7755276299995,12.188358079999999,5.462590601,,,0.883102881,1.49012276,5.337886951000001,7.388635846000001,,0.173630096
Mosaic of Agriculture and Pasture,108162.44097511799,1073.6119636600001,6566.720014099999,112.441774092,195878.961793232,2.192751709,5771236.405274438,605463.541367865,0.802422937,0.0,3975.0991537,1140474.6516766849,2816.7769927700006,2987.124637142,9.450472473,13747.26293574
Natural Forest,121890.76400401098,424.886884232,200.01439091199998,975.7590470899999,48590.975060394005,63.575728549000004,582704.3670334581,49471953.68352957,32.817223658,,2182.913726311,1474669.2226340165,6656.210699633,4504.415994078,154.98782028300002,2755.493195807
Non Observed,0.624982733,30.154598209,148.123685718,,25.866892672,,1.428256763,11.588706726999998,10924.681031979999,,0.535501459,45.21388956300001,20.068161455000002,0.267702698,37.579951732,20.266654434
Other Non Forest Natural Formation,,,,,,,0.0,,,0.177976288,,,,,,
Other Non Vegetated Area,1389.1820003,192.069609136,362.46450718,0.0,1964.6459072700002,0.0,19366.545611839,2707.428261979,0.44622428599999997,,147376.27361581198,41747.486750020005,262.43994273,2088.066059278,3.384729584,757.822111256
Pasture,349802.600488346,36.518027496,645.1607196699999,282.42221668999997,65583.59381933701,3.307728571,584841.45652,601770.15122113,29.165430375000003,,11739.783063322,18633095.3415,2495.2839955349996,6139.023013605,0.26712204,13972.734863699998
"River, Lake and Ocean",585.513161404,702.1373619980001,1094.2896294,1.804836633,6029.554449137,0.87987467,94908.89000319998,103281.56580300198,8.023294855,,1634.722414873,129171.3851168,587420.124697045,1297.8764131960002,20.873512863000002,20.716442151999996
Rocky outcrop,699.0831285639999,1.4250150940000001,133.684700203,0.0,948.7082921,0.0,1151.4741511679997,2884.065730968,0.0,,1497.3169917609998,3086.5432232650005,60.389580083,46247.92414847,0.17809899899999998,21.364829935000003
Salt flat,0.089037811,331.00951877,29.496671698,,563.8425981,,29.957728049999997,68.452757926,17.207652076,,11.235312116,0.534434308,47.52318738,35.267267081,14977.029044,0.89181062
Urban Infrastructure,0.088854315,0.0,42.979990462,,0.8001269530000001,0.087663409,1.865753089,2.384841326,0.08920880099999999,,0.0,1.584866297,0.446074469,0.0,0.981340216,215628.75987700006
