,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,2766335.155015784,15.856259508,0.089163538,1.124075732,60.049836172999996,,175.018168013,1278.4225509660002,0.0,,0.34866477100000004,600.2933981979999,0.088568469,0.34792088600000004,0.089039221,451.815560699
Aquaculture,1.247150983,41029.6263111,0.08905847800000001,,156.308256052,,36.178631948,59.580667561999995,7.052516571000001,,3.5619180360000002,14.789326046,108.48432534,2.5829954840000005,1.335831506,0.0
Beach and Dune,0.0,1.5138354859999998,97354.68598,,1.2482337829999999,,4.546608161,0.9811895810000001,1.248734266,,3.4803956119999997,3.301652863,0.980143402,1.1577058040000001,0.356497736,1.51540448
Forest Plantation,4.320708417,,,5261.1197113,0.0,,0.086072821,0.690064765,,,0.0,0.086013147,0.086373621,0.0,,
Grassland,273.9968219490001,615.6652911799999,1.2482185719999999,0.0,3168160.5145495124,0.7048882809999999,19711.257789528,23086.831568918995,6.690642053,,4475.854283337,13986.439778363001,3431.8691702649994,1131.667130598,10.33541886,12.699243933999998
Mining,4.864824237,,,,6.081087255999999,2859.6759084199994,30.820473642000003,6.364814495999999,,,1.1484484190000002,48.046119132,0.261962982,0.794220642,,13.337963534
Mosaic of Agriculture and Pasture,6463.061925989999,307.74212801500005,16.404964691,0.17228958100000002,58736.392329866,0.260438837,5948543.85842755,158530.239390992,0.446071954,0.0,14145.599234070001,154869.09176060001,49011.888672785,2225.120885551,0.35683114000000005,2746.616522075
Natural Forest,4008.8967478209997,99.003853589,0.089293335,0.947618921,17323.290858997003,1.233286792,111354.581000593,50590041.06094046,0.352978479,,3583.929898761,86014.92749683402,16380.972576545997,2361.6080949240004,2.2278113360000003,318.11821372300005
Non Observed,0.0,94.63844623399999,2.319617266,,9.987960296999999,,0.44604818100000004,1.411266205,11397.176343667,,0.7138777590000001,1.950532178,4.991889013,0.356230975,1.248407702,11.961394371999999
Other Non Forest Natural Formation,,,,,,,0.0,,,0.444951935,,,,,,
Other Non Vegetated Area,169.233625651,35.350451817,3.3017807130000003,0.0,216.206349848,0.0,128.60724204,275.542012532,0.267879028,,101004.178115862,7189.3114896,243.727554803,2051.5617188179995,0.801347308,498.290023195
Pasture,5792.855785484,43.55836266,4.9937372799999995,0.087572308,17316.306461789998,0.0,103417.700459074,239871.908825454,2.047479511,,12445.159086915,21469436.37143337,10955.767934666,6629.548015261999,0.0,1918.9927924270003
"River, Lake and Ocean",63.354083873,360.44247694,0.53432804,0.0,838.7959330790001,0.088114386,1403.138334781,8044.834707024,7.399996160000001,,101.789739175,587.1062196910003,492663.05461973196,284.002258296,1.425965326,0.622930957
Rocky outcrop,0.087803412,87.447873989,2.493755969,0.0,1430.5079206260002,0.0,1371.7610448350001,2038.7689872330002,1.24723009,,479.020579366,2760.253568628,775.737154328,76949.01833246,0.356199207,82.853047087
Salt flat,0.534225287,7.302738775,0.08904664300000001,,16.120130325,,0.712906488,4.007962188,0.6236049379999999,,2.1372827759999997,0.08904115,5.788343604,2.7610302969999996,15517.649887,0.0
Urban Infrastructure,0.441170111,0.089271759,0.0,,0.97817804,0.085996814,1.151651403,1.5875654599999998,0.08921735199999999,,0.352305615,2.3836540459999997,0.17740119,0.08835194699999999,0.0,284877.97153000004
