,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,708936.4908689489,0.0,5.354326587,0.0,1401.488748273,,1871.807737318,24124.645221438,0.0,,7.122795923000001,12301.505650534,12.011708051,252.61292319700001,0.0,1313.7051746130003
Aquaculture,51.931493137,17618.1421592,22.79690622,,113.01941055900001,,100.94566912500001,190.036677822,36.233799227,,3.8290850830000003,34.57044675,219.242491117,73.65278153999999,178.33480081000002,4.188691705
Beach and Dune,889.23778722,658.61660189,87460.12698,,453.87998907,,6975.374611000001,768.4269999789999,524.90744449,,64.34498127,1597.5218575000001,519.97297021,227.09484796200002,23.474253599,2355.1679642000004
Forest Plantation,0.0,,,1542.4029901999997,0.0,,0.0,0.0,,,0.0,0.350354382,0.0,0.0,,
Grassland,62190.843883571986,5205.7846869,295.29117918,4.526083606,2839378.0155724,7.495761139,259220.33304640304,90517.236521022,2.945112805,,15758.898771247,291846.05064255,1480.30975668,2604.11030012,209.0518224,4390.6650216240005
Mining,0.0,,,,175.53777712299998,2522.982187779,247.189950448,254.012501014,,,29.592056101,84.084076172,17.659644253,0.264719403,,68.72536374
Mosaic of Agriculture and Pasture,461326.4918561669,4600.788444765,2059.69774305,62.032341372,152660.49053327998,25.705148043,5465188.380340001,1164430.99489067,1.1596046020000002,0.0,16519.654943683003,3341643.99227,42733.70560130001,9496.251750127998,51.175978869999994,100844.72620719999
Natural Forest,829088.6983240322,5253.46957933,2488.78234003,2358.6952106109998,142592.89007901,178.09531602100003,1410845.6935789587,48182827.0680967,33.816489298,,7332.939061734,5641804.2213282995,55671.126201113,8268.251002074998,172.719943842,42137.79448948899
Non Observed,6.416978406,888.4676232200001,242.954670557,,19.270515306,,1.781268963,345.26691147500003,11013.160360995998,,0.713630811,126.78872406499998,18.361857008,0.35623609,99.500342048,239.904223352
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08898602300000001,,,,,,
Other Non Vegetated Area,2428.622952538,1693.18399248,424.03139344,0.08756788300000001,1295.532187314,0.0,14037.612336819002,4704.592266988,0.446374774,,121486.448957123,40915.427618433,989.2985302529999,8258.91714791,6.143808435,4261.915612555999
Pasture,528997.811784764,180.57694712,14.24802286,330.081488045,81663.58734667802,12.948773225,370681.06463000004,1190427.6004726898,2.1025574270000003,,9669.107200134,11131852.748300001,25428.967367600006,8840.026942912,0.44521594200000003,60707.538556
"River, Lake and Ocean",5483.429929334,2582.18634457,1520.0174379,18.984884477,6732.31293247,0.35171718799999996,51168.7463172,105287.25703199198,15.868679853,,1455.418796598,113225.219935352,562379.8303434519,1941.6787531339999,128.446730554,320.242669551
Rocky outcrop,9032.47354128,9.886205329,17.634124541000002,4.274898047,5277.998982707999,0.0,8327.482111083,17139.733392513997,0.0,,179.10288713499997,35389.125741608004,227.818099114,96305.76206039202,0.0,108.719066916
Salt flat,0.801333502,904.80614691,105.53588353,,616.1309941100001,,22.027428816,382.977757289,34.07462495,,51.02019692,0.0,76.532074838,88.70242822099999,14709.222936000002,24.803069712
Urban Infrastructure,0.0,0.0,0.892162006,,0.0,0.0,0.0,0.0,0.0,,0.0,0.08743985,0.0,0.0,0.446056635,54147.3801207
