,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,565671638.0,1129543.0,19953859.0,75670.0,271068.0,462.0
NaturalNonForestFormation,792136.0,53182320.0,2020873.0,46027.0,128024.0,144.0
Agriculture,5918074.0,1537167.0,180923218.0,227002.0,122917.0,178.0
NonVegetatedArea,20430.0,35991.0,170527.0,2900818.0,6879.0,360.0
BodiesofWater,364770.0,165447.0,152458.0,9882.0,15355643.0,362.0
NotObserved,346.0,169.0,453.0,477.0,281.0,19753.0
