,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,522867032.0,654089.0,11739094.0,79977.0,451146.0,261.0
NaturalNonForestFormation,595809.0,49472058.0,2080717.0,52675.0,140087.0,118.0
Agriculture,6553531.0,1155147.0,233595037.0,241857.0,115309.0,258.0
NonVegetatedArea,17576.0,41765.0,170093.0,4073141.0,8093.0,529.0
BodiesofWater,210036.0,126601.0,335468.0,26183.0,16382586.0,203.0
NotObserved,228.0,149.0,458.0,411.0,423.0,17223.0
