,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,534172728.0,770394.0,21266661.0,112066.0,408683.0,247.0
NaturalNonForestFormation,680122.0,51791461.0,2490374.0,66991.0,129189.0,157.0
Agriculture,5524174.0,1160392.0,211878621.0,198117.0,218837.0,184.0
NonVegetatedArea,9862.0,38563.0,138605.0,3566661.0,9731.0,517.0
BodiesofWater,152206.0,120139.0,73470.0,8763.0,16196633.0,329.0
NotObserved,207.0,174.0,1711.0,387.0,334.0,17680.0
