,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,578598318.0,874478.0,17301547.0,89960.0,649021.0,328.0
NaturalNonForestFormation,1288603.0,54189646.0,2003679.0,62861.0,270348.0,136.0
Agriculture,6957553.0,1473108.0,168746648.0,308548.0,118152.0,99.0
NonVegetatedArea,31610.0,37760.0,251817.0,2596806.0,13358.0,348.0
BodiesofWater,287381.0,110851.0,84531.0,11365.0,14822909.0,188.0
NotObserved,265.0,186.0,444.0,506.0,1083.0,20926.0
