category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,0.0,25.333333333333332,0.0,1067.0,0.0,9784.333333333334,9609.0,0.0,0.0,154.33333333333334,36163.0,5.0,17.666666666666668,0.0,0.0
Aquaculture,,6.666666666666667,0.0,0.0,0.0,0.0,70.66666666666667,61.333333333333336,0.0,0.0,0.0,0.0,24.666666666666668,24.666666666666668,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,339.6666666666667,95.66666666666667,0.0,0.0,53.0,33.333333333333336,3.6666666666666665,3.6666666666666665,6.0
Forest Plantation,,,,0.0,0.0,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,,,,,0.0,0.0,67327.33333333333,3.3333333333333335,0.0,0.0,727.6666666666666,1388.0,1365.3333333333333,121.33333333333333,0.0
Mining,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,841607.0,1.0,0.0,0.0,9456.333333333334,12035.666666666666,3488.0,10.0,1.0
Natural Forest,,,,,,,,29.666666666666668,0.0,0.0,2068.3333333333335,26169.666666666668,8883.666666666666,87.33333333333333,1.0
Non Observed,,,,,,,,,0.0,0.0,1.3333333333333333,4.0,0.0,0.0,0.0
Other Non Forest Natural Formation,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,9076.666666666666,402.6666666666667,197.33333333333334,8.0,0.0
Pasture,,,,,,,,,,,,4589.666666666667,3812.3333333333335,0.3333333333333333,0.3333333333333333
"River, Lake and Ocean",,,,,,,,,,,,,336.6666666666667,29.333333333333332,0.0
Rocky outcrop,,,,,,,,,,,,,,3.3333333333333335,0.0
Salt flat,,,,,,,,,,,,,,,0.3333333333333333
