category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,0.0,27.25,0.0,1899.0,0.0,15274.0,13571.75,0.0,0.0,192.25,60724.75,4.0,21.5,0.0,0.0
Aquaculture,,9.25,0.0,0.0,0.0,0.0,57.25,51.5,0.0,0.0,0.0,0.0,24.0,24.0,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,277.25,94.25,0.0,0.0,65.0,51.25,9.25,9.25,12.25
Forest Plantation,,,,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,,,,,1.5,1.5,58855.5,4.25,0.0,0.0,855.5,1369.25,1352.25,136.75,0.0
Mining,,,,,,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,796601.75,0.75,0.0,0.0,8481.25,9749.75,2888.75,14.75,1.5
Natural Forest,,,,,,,,26.25,0.0,0.0,1887.75,20921.75,7360.75,94.0,1.25
Non Observed,,,,,,,,,0.0,0.0,1.0,4.25,0.0,0.0,0.0
Other Non Forest Natural Formation,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,9054.5,426.25,261.5,11.75,0.0
Pasture,,,,,,,,,,,,3606.75,3023.75,0.25,0.25
"River, Lake and Ocean",,,,,,,,,,,,,293.5,25.0,0.0
Rocky outcrop,,,,,,,,,,,,,,3.0,0.0
Salt flat,,,,,,,,,,,,,,,0.25
