category1,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,0.0,28.833333333333332,4.5,2033.0,0.0,16475.166666666668,14794.166666666666,0.0,0.0,169.0,59134.666666666664,5.0,23.333333333333332,0.0,0.0
Aquaculture,,8.666666666666666,0.0,0.0,0.0,0.0,53.0,39.0,0.0,0.0,0.8333333333333334,7.666666666666667,17.666666666666668,17.666666666666668,0.0
Beach and Dune,,,0.0,0.0,0.0,0.0,206.16666666666666,83.33333333333333,0.0,0.0,58.0,88.33333333333333,28.0,10.333333333333334,12.333333333333334
Forest Plantation,,,,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,,,,,1.8333333333333333,1.8333333333333333,51318.5,6.166666666666667,0.0,0.0,897.3333333333334,1104.8333333333333,1093.5,122.83333333333333,0.16666666666666666
Mining,,,,,,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,,727952.8333333334,0.8333333333333334,0.0,0.0,7427.333333333333,8166.5,2308.0,14.0,1.8333333333333333
Natural Forest,,,,,,,,20.5,0.0,0.0,1592.3333333333333,17833.333333333332,6005.666666666667,89.83333333333333,1.8333333333333333
Non Observed,,,,,,,,,0.0,0.0,0.6666666666666666,6.166666666666667,0.0,0.0,0.0
Other Non Forest Natural Formation,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,,,9275.833333333334,438.3333333333333,328.5,11.333333333333334,0.0
Pasture,,,,,,,,,,,,3550.1666666666665,2678.5,0.16666666666666666,0.16666666666666666
"River, Lake and Ocean",,,,,,,,,,,,,229.5,22.166666666666668,0.0
Rocky outcrop,,,,,,,,,,,,,,2.1666666666666665,0.0
Salt flat,,,,,,,,,,,,,,,0.5
