,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,7095363.9029594725,0.0,160.21478352500003,19225.501111695,0.0,0.0,42614.10240052201,0.0,,17627.225485158,212120.79476065098,146.275454759,,0.0,1723.152402858,0.0
Beach and Dune,0.0,95154.11382742,,1.161060516,,,7.769833105,1.87543327,,33.044924723,7.412666462,61.08859663,,0.0,0.0,
Forest Plantation,319.96421135,,925105.3630891,44.795439331000004,0.0,0.0,171.99050405,,,7.197666754,219.33067763600002,0.0,,,0.0,0.0
Grassland,24101.836149993003,0.714457758,318.824139104,19444464.326317,0.17147927899999998,0.0,105252.481447149,0.784735705,,14207.307502544001,46753.53282979,469.33810807900005,,0.893053613,390.53227329699996,0.170133258
Mining,0.346015686,,0.0,0.085069891,9464.8002711,,0.5129943419999999,,,0.600674036,0.171018347,0.08698192099999999,,,0.086147754,
Mosaic of Agriculture and Pasture,0.415358228,,0.0,0.0,,145.86964001799998,0.166113373,,0.0,0.0,1.4197044250000002,0.246761084,0.0,,0.0,0.0
Natural Forest,79852.45937957602,3.1256307609999996,9519.112554951002,12648.954025983003,2.221150072,2.586434272,114182230.78109808,2.264057257,0.0,25890.971212440993,988671.61510865,2185.744487523,0.0,1.428803131,585.31300632,0.0
Non Observed,0.0,1.3395621340000001,,0.33520436400000003,,,3.175650104,18.80703189,,1.071601135,1.004643616,1.3586133610000002,,0.0,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.6286444400000002,,0.256239258,,,,,
Other Non Vegetated Area,13060.978889166,35.2764501,276.073205182,16701.574469092,0.33985877,0.0,10444.724982274998,0.612328821,,486503.1045915,72769.34670518001,1791.489332476,,0.08931737099999999,4123.145955738,
Pasture,59595.48267353099,5.179587085,6795.908167098,67177.00422707,3.98896604,1.6719625790000001,476383.54973759793,1.1651764230000001,0.170560968,17300.894221479997,52657053.714889996,1275.0167565789998,,0.089297614,3415.685995476,0.0
"River, Lake and Ocean",94.671471166,16.968901723000002,0.0,2417.832998292,0.0,0.0,3884.0263927319997,2.455489087,,2251.38441025,12613.569725671,962425.31475353,,1.607502582,4.814161248,
Rocky outcrop,,,,,,,0.0,,,,,,0.512366181,,,
Salt flat,0.0,0.0,,1.250276385,,,0.35723883100000003,0.0,,1.696859607,0.0,0.893149042,,7408.224785069,0.0,
Urban Infrastructure,0.083521082,0.0,0.0,0.086105981,0.0,,0.612605475,,,2.030680128,1.7012314319999997,0.0,,0.0,213434.77097926,
Wetland,,,,0.08399912699999999,,0.0,0.0,,,,0.0,0.0,,,,5.641071344
