,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,17802389.86475578,0.353067456,6556.578832621998,6433.037127099999,0.340786053,0.669209051,6031.996387013002,0.0,,4882.197581135999,122064.59801880099,1457.972926159,,0.0,930.180212618,0.0
Beach and Dune,0.0,106760.31054400999,,2.947368604,,,9.466565924000001,7.770226482999999,,122.9821035,4.643875586,127.8925991,,0.803706128,0.089299664,
Forest Plantation,11115.876152629999,,2216487.8086114,19.349181213,0.0,0.0,1278.988243602,,,4.036364161,211.630114521,0.35485165399999996,,,5.864740564,0.0
Grassland,78618.55481198903,6.698055017000001,1824.554568073,17418256.428264,5.7489636850000005,0.0,8333.249549892998,0.885337708,,31452.757573097002,37875.203575724,2354.2044793670007,,3.03639364,199.230013352,0.084001978
Mining,0.084328772,,0.0,1.7121501829999999,12951.293660760002,,1.207150018,,,56.41514429700001,3.6739396920000003,7.034976258,,,4.3467264100000005,
Mosaic of Agriculture and Pasture,2.5126129890000004,,0.0,0.0,,162.561778785,0.421475995,,0.0,0.0,0.170378223,0.0,0.0,,0.082876276,0.0
Natural Forest,101980.889502845,5.626564435,31956.113518639,27535.850074483,87.78217595900001,0.670601373,94914138.01016127,3.4247356079999998,0.0,37181.82162223199,393312.17525864206,18424.882767918,0.0,6.697392651,525.3536782010001,0.0
Non Observed,0.082482367,2.590036768,,0.746195026,,,0.606036493,27.958893058999998,,0.25428014499999996,0.670595886,15.929422273,,0.35719708299999997,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.579439423,,0.0,,,,,
Other Non Vegetated Area,29334.37496703799,95.37779491,763.9033305410001,9834.707031454998,5.327863696,0.0,5835.953606858001,0.267891193,,407502.69114143006,25099.384318293,1666.284051518,,1.33946673,533.160185494,
Pasture,562086.686021793,8.216272973999999,105873.408914898,53213.45641680001,140.123742692,0.837436529,155587.90510305003,2.082150812,0.341467676,17363.527100129,61693116.364159994,12416.378390339,,3.572527765,3608.4676246619993,0.0
"River, Lake and Ocean",240.983022483,129.49991119999999,9.864805872,177.05410009499997,89.08862307999999,0.171607385,938.6135335350001,2.6663965999999997,,567.193406307,387.12978636800005,1368879.8904699,,11.87702388,0.344561719,
Rocky outcrop,,,,,,,0.0,,,,,,1.189786176,,,
Salt flat,0.0,0.9823619509999999,,5.715751801000001,,,3.929522851,0.089300171,,0.893139758,3.215141797,9.824350707999999,,6619.176152801,0.0,
Urban Infrastructure,1.028817798,0.0,0.0,0.255113422,1.290463152,,1.468829688,,,2.145196583,3.925879511,0.08906124900000001,,0.0,590172.4406430001,
Wetland,,,,0.513545428,,0.0,0.0,,,,0.0,0.0,,,,7.897029675000001
