,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,17016714.21306999,0.0,51291.676430929976,28722.831990861996,4.143508526,5.589511096,52620.96064940102,0.412520251,,8219.516615841,783080.1742499708,2256.5015792719996,,0.0,7831.686482656,0.083191931
Beach and Dune,3.482690204,104212.89932617999,,55.011276738,,,100.20809212,11.69924525,,970.7150471000001,80.01990385,1593.4049289999998,,5.536680707,3.929106195,
Forest Plantation,38529.85876462099,,2186256.3714891896,117.43343626700002,3.625880139,0.0,2682.2761267619994,,,4.592791803,1142.992197298,0.781219061,,,385.9768441,0.0
Grassland,387543.421494992,261.3979291,14666.292698790001,16694542.526328001,52.365175185,0.0,33638.495453623,0.0,,44319.530037917,396387.44388505,4890.7457097510005,,41.2622797,2586.7304852519997,0.424234265
Mining,30.686832617,,0.0,12.819964635,12381.72924129,,8.721689032,,,266.259616675,102.48115205900001,101.03721262999998,,,122.03236692,
Mosaic of Agriculture and Pasture,12.027599132999999,,0.082938428,0.0,,147.027966021,4.010763306,,0.0,0.083973749,1.930010614,0.0,0.0,,0.41941955,0.166451453
Natural Forest,1053789.5020506745,181.74205424400003,166144.735614739,75197.916141857,375.001686042,1.498920959,90430904.84132746,9.4648018,0.0,76575.05219370901,3677397.6631090897,36370.72905929701,0.0,65.27695344,8145.615305046,0.259975318
Non Observed,0.412462262,1.071752185,,0.248718042,,,2.060500855,9.899268213,,1.6769278440000002,1.948954993,31.449753456,,0.178597632,0.24820361300000002,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.579439423,,0.0,,,,,
Other Non Vegetated Area,56384.98503875,346.23085330000004,1882.606405963,15705.206225532003,62.853554728,0.0,11670.830494123004,0.267896796,,357085.13884562,31637.949441645997,1975.7295329429999,,32.95271044,3888.020638215001,
Pasture,4503354.967185338,200.4050576,526666.3390593,193891.7558155,729.7897701750001,10.529795093,1311101.583414787,2.7516885250000005,0.0,24396.87028567,55981851.51951999,19134.112381913,,3.57258183,42077.17230445999,0.0
"River, Lake and Ocean",852.803718465,990.5463135,14.471310486,6135.940769768999,305.615884784,0.0,24845.634376576996,2.9340645199999997,,26265.18773674,76384.69721926202,1235446.1184110104,,26.07668181,164.350692472,
Rocky outcrop,,,,,,,0.0,,,,,,1.189786176,,,
Salt flat,0.0,19.28938015,,138.4247875,,,58.227098291,0.8929933109999999,,37.864895399999995,0.8037051270000001,22.50594297,,6365.816918801,0.0,
Urban Infrastructure,0.424465167,0.0,0.0,0.344000481,28.23885264,,1.55187243,,,0.608378437,5.555733417,0.178305402,,0.0,590145.742452,
Wetland,,,,0.771524268,,0.0,0.083434979,,,,0.0,0.0,,,,7.555615856999999
