,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,18925494.40981294,0.62507998,29548.098255404,13480.703340129001,0.8542349300000001,1.7531752680000001,29633.150947090006,0.082514459,,7006.113632958001,428825.90164175,2496.7420211390004,,0.0,8416.964774663998,0.0
Beach and Dune,0.98227937,101866.960443207,,243.34564655600002,,,148.604824723,8.305599396,,4857.316027000001,80.375253881,815.4143488,,3.3042145869999997,3.1253991639999996,
Forest Plantation,64570.206909818,,2568580.0577768595,227.22629422699998,0.674017383,0.0,4310.103264996001,,,15.902383873,1787.6546358470002,0.5122938239999999,,,483.93736117000003,0.0
Grassland,339593.641941282,155.839968,10950.92941428,16389499.973442001,137.534403627,0.0,31046.103697848997,0.663428589,,46250.06677474,520824.15638520004,4127.728927683,,28.49045625,2366.479011546,0.257678577
Mining,70.267541486,,0.41869370100000003,44.632018495,12458.85836954,,33.846711852,,,255.26370428399997,674.8643830960001,140.767718392,,,185.313539806,
Mosaic of Agriculture and Pasture,13.441122155999999,,0.16600383900000001,0.0,,148.659438474,2.002429431,,0.0,0.0,2.078965699,0.0,0.0,,0.41760626200000006,0.166451453
Natural Forest,964285.3727040997,89.40107373400001,122295.92453265998,69815.071198569,129.485808867,1.509214429,89094768.51456498,7.402532031999998,0.0,56178.921296453,4031811.9338519,13049.120283664004,0.0,25.271458385,6897.444879932001,0.0
Non Observed,0.659987268,1.6076173219999998,,0.248718042,,,2.889535645,10.918295672000001,,6.933667327999999,1.944080981,15.208100752,,0.446496545,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.083141229,,0.24872557399999998,,0.0,,,,,
Other Non Vegetated Area,67596.057641654,297.044963,821.656434915,14837.393125395,212.60026714900002,0.0,9686.789251450002,0.357199121,,374973.9275733001,33086.03100042,1418.224688363,,12.77057042,5294.139571476,
Pasture,5000786.671979711,82.33739995,367676.7799962801,166071.9877938,248.056761168,6.766297076,1084390.1082757,2.112755871,0.0,49573.96905707,55282567.911749996,7775.768180524001,,0.35721116299999994,41207.324538759996,0.0
"River, Lake and Ocean",1675.491365175,539.1732138,20.835740475999998,9892.583558725,159.613426657,0.0,24689.59499670301,5.613445417,,21644.574090200003,89606.93856254799,1265074.6924286098,,6.340388518999999,229.62960119200002,
Rocky outcrop,,,,,,,0.0,,,,,,0.7646086,,,
Salt flat,0.0,3.2148342530000003,,60.55198677,,,50.813582091,0.535799994,,76.45295870000001,0.446510626,65.10100103,,6354.235718375,0.0,
Urban Infrastructure,0.9278654660000001,0.089299664,0.0,0.346345703,62.571053074000005,,1.467636621,,,0.7792343569999999,5.36310818,0.084290167,,0.0,616421.827912,
Wetland,,,,0.257991675,,0.0,0.0,,,,0.0,0.0,,,,7.364688988999999
