,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,16154414.702466827,0.0,60071.90735427501,24501.675614177995,18.566056687000003,3.3328748659999996,65566.86687117197,0.0,,14244.767770629998,794903.6297836627,2543.68108011,,0.0,13515.024351209,0.0
Beach and Dune,1.240897595,101469.90433252,,135.8353429,,,231.22560607900002,10.09186175,,1508.794936,82.07343405,1637.422673948,,23.48617148,4.732753381,
Forest Plantation,55417.12504504501,,1861237.91616592,166.849220886,3.2879053039999997,0.0,4209.414309589,,,44.337279953,4466.245828063999,0.598464203,,,562.399851433,0.0
Grassland,612164.4637382509,233.6155349,23340.98302824,16436060.996559002,92.562534723,0.0,39404.33619565901,0.0,,60521.05722137901,615773.56024167,7299.589832828001,,30.99139523,4797.281736019999,0.6821693670000001
Mining,73.793733546,,0.420012799,118.299825502,11850.83330008,,59.996755451999995,,,258.453162001,758.0238321149999,126.70692623699999,,,179.02410701600002,
Mosaic of Agriculture and Pasture,17.538191379,,0.412125549,0.0,,148.434859528,3.4352742750000003,,0.0,0.0,2.774420271,0.084787073,0.0,,1.0838878420000002,0.24961882300000002
Natural Forest,1679483.8367533104,197.741343686,246818.04572037002,70290.28590435398,700.408941646,1.33249176,88635357.64456311,10.300572931,0.0,71198.70327156699,5273780.284616,57932.16352981499,0.0,89.476708898,14989.023614921,0.0
Non Observed,1.374255744,1.339788373,,0.331708453,,,2.073213628,8.137011797,,1.67048844,2.858969799,35.462970127,,0.625094623,0.330909888,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.331382361,,0.0,,,,,
Other Non Vegetated Area,63395.61324864401,729.380160921,1999.704530029,13940.757858448,94.40851508,0.0,11363.78362211,0.784591694,,341460.10834010004,28839.057064737004,1813.6935244259998,,30.27395128,7576.765468749999,
Pasture,6030517.28733688,238.8871065,762030.1120405721,216719.80354199998,948.0101433839999,14.345870429,1842482.1088776,0.663366803,0.0,43219.568126750004,54053621.18249,35658.502089207,,0.0,70433.20146832,0.166990741
"River, Lake and Ocean",1388.571837132,2050.694717906,9.839609479,10328.154898828,336.05820668,0.0,33287.076809882,3.635935236,,23992.307410203004,90392.297073667,1176608.10589617,,26.87914444,246.62478570399995,
Rocky outcrop,,,,,,,0.0,,,,,,1.019530786,,,
Salt flat,1.785919794,80.28197015,,543.2492187,,,508.76855423,0.446501782,,350.4930252,242.7039014,76.18341257,,8473.378618546,53.39979177,
Urban Infrastructure,0.6720887210000001,0.0,0.081702417,0.252464606,37.368745262,,1.4721500730000001,,,0.520742365,3.593857903,0.08407619599999999,,0.0,555200.043432,
Wetland,,,,0.085993976,,0.0,0.08329682599999999,,,,0.0,0.0,,,,9.444312036000001
