,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,16832390.48854508,0.0,6619.477040306,18256.248555372,0.255945935,1.7560189570000002,20438.715610567007,0.082434418,,6599.470695822999,243008.34036794797,1004.1675782099999,,0.0,1465.151703274,0.0
Beach and Dune,0.79440144,104944.508947302,,0.267935614,,,1.875507239,7.948271881,,83.949519558,3.840073737,59.03360888,,2.321805029,0.267925208,
Forest Plantation,5752.598108372999,,1918336.7177600502,45.68388426,0.0,0.0,1438.3156213109999,,,4.2520618820000005,433.570755336,0.512581421,,,96.523323641,0.0
Grassland,112913.16154114001,0.357210364,1704.8456454639997,17597582.591126,5.0402540039999995,0.0,14357.151017775,0.0,,24132.390162869,47344.57551058599,1460.7149001680002,,2.8578203369999997,215.7489158,0.685766742
Mining,6.0519160890000006,,0.0,24.403965372,13130.667142839999,,15.039137615000001,,,33.948696303999995,199.69117354800002,10.477047558999999,,,5.2725745,
Mosaic of Agriculture and Pasture,5.164962634,,0.0,0.0,,168.183471725,0.497457483,,0.0,0.0,0.08316737099999999,0.0,0.0,,0.084105579,0.0
Natural Forest,88370.14673689498,3.929831933,27099.232908698,21817.948212552,48.155059402,0.507936535,95564479.20198028,1.856144116,0.0,23516.346249469003,317990.700893391,7075.721265447,0.0,5.180409496999999,440.324418053,0.0
Non Observed,0.0,7.231511627,,0.177067542,,,0.7589596679999999,36.006214762999996,,0.082138257,0.909855042,8.069549725,,0.8036926999999999,0.165421558,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.331382361,,0.0,,,,,
Other Non Vegetated Area,32599.678941229,113.60185867700001,766.1795629520001,10078.764737181,1.6380366700000002,0.0,5738.005496349999,1.097099627,,396545.76783679996,22647.663814289,875.6192405859999,,0.8930156859999999,1875.421222237,
Pasture,509097.3095305379,10.984364900000001,74743.99777314802,59465.2169476,75.994755134,1.4233577830000002,166276.142277391,1.243005658,0.0,13138.55641208,62222861.73296001,5865.924154332,,0.17859646,4345.124987523,0.0
"River, Lake and Ocean",43.007120586000006,231.76383170000003,0.843427081,322.149913407,46.526603896,0.0,1592.103921187,7.674891186000001,,711.5829721499999,451.817239239,1335252.93825408,,5.1797870669999995,4.658430127,
Rocky outcrop,,,,,,,0.0,,,,,,1.019530786,,,
Salt flat,0.0,1.250319397,,77.33784491,,,51.169485382,0.0,,25.62983022,6.340183289,8.48443761,,10159.317964777,1.160850494,
Urban Infrastructure,0.33571485599999995,0.0,0.081702417,0.776189594,5.168809991,,2.699925506,,,1.47710921,2.8959089430000002,0.08407619599999999,,0.0,555230.5698520001,
Wetland,,,,0.08596049800000001,,0.0,0.0,,,,0.0,0.0,,,,9.527642341
