,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,6483016.928690367,0.0,26466.980647216995,98637.29982413001,32.51299654,3.829617084,71480.342885712,0.0,,12745.319037952,659470.5234332694,794.3330519660001,,0.0,36333.100115516005,0.0
Beach and Dune,0.17860091600000003,91256.42868436,,373.922487597,,,363.547473312,13.66422846,,1002.6660519999999,280.6796266,1932.425929367,,40.00646934,2.946793542,
Forest Plantation,55694.975395796,,810617.0708845,1967.0837007989999,3.4333019589999996,0.0,30697.108226234002,,,164.03399475,26264.126996189003,0.584337586,,,460.224762792,0.0
Grassland,1964408.958789416,928.5105476,55469.279569039994,16468536.549617,172.497964118,0.0,63250.016751475,1.1164913520000002,,61724.68804301,980270.5727143999,15971.586097368,,50.7252033,25176.325847600005,0.085921692
Mining,18.475384285,,0.0,263.55289984,8130.98732486,,98.50701225699999,,,434.861381938,221.48985833,126.215779254,,,172.59953332499998,
Mosaic of Agriculture and Pasture,24.748161732,,0.5799691410000001,0.0,,110.328172472,3.430202916,,0.0,0.083973749,6.860708075999999,0.24967766800000002,0.084512744,,1.586159613,0.166039032
Natural Forest,6522710.502245076,2960.4915755260004,923263.1147250982,171812.671274611,2288.169793214,3.671220679,88666236.55341743,7.129278497,0.083141229,89556.07228976299,18521008.893573422,317863.26854268095,0.0,175.02492741,83710.60092445,0.33227442
Non Observed,0.247453363,1.964851379,,0.331788617,,,2.79702121,7.48365053,,0.44650518200000006,1.0775366579999999,11.711787628,,0.535797101,0.495914935,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.7994706120000001,,0.085413086,,,,,
Other Non Vegetated Area,54053.72071690099,226.3107328,5230.417684071001,30176.318803582002,120.03576344999999,0.08927998,41019.209006802,0.16583269,,339814.19076200004,93786.82589463198,5833.622710473,,27.060901300000005,35418.78798936,
Pasture,7158294.616283158,647.200323,979048.951985917,378143.212744,2931.50076031,37.489708199,3676949.3689886145,2.234527911,0.0,26911.884314323,40742812.930829,97207.641349197,,1.071609558,226021.16631620002,0.250760608
"River, Lake and Ocean",1115.8267610600003,6433.0961337260005,16.130347386999997,8699.653336581001,21.475582108,0.0,40800.27033893901,5.357996216,,10290.049196218,69958.40696555498,845520.1736105601,,379.169012,473.036401029,
Rocky outcrop,,,,,,,0.08688760400000001,,,,,,0.425478577,,,
Salt flat,0.0,66.62361014,,121.46521580000001,,,586.5879942639999,0.0,,35.18831645,0.625123804,24.738510100000003,,6573.978867196,3.214671545,
Urban Infrastructure,0.0,0.0,0.0,0.0,1.6818641540000001,,0.086131519,,,0.08434161400000001,0.43323746899999993,0.0,,0.0,213436.99954226,
Wetland,,,,0.256029505,,0.0,0.751605365,,,,0.0,0.0,,,,4.717435602
