,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10031088.754657054,0.0,495.76052159999995,45798.37726185899,0.172030182,0.498414484,18999.838951550995,0.0,,10767.278860266002,271599.698409131,2913.430591706,,0.0,306.19381211500007,0.0
Beach and Dune,0.0,105506.37717964,,6.251766948999999,,,2.5900110720000002,1.607635004,,278.1105773,6.4299739989999996,51.62263652,,3.2149942260000004,0.0,
Forest Plantation,835.7991430789999,,1352973.3160447401,105.243352149,0.0,0.0,5462.591487446999,,,13.017784893000002,1187.975991061,0.340463745,,,0.172118207,0.0
Grassland,108090.691748275,0.267945581,742.383402994,18427933.1279,1.4628817139999999,0.087761139,22411.751633541,0.172271076,,11576.406199770001,32614.1743217,1120.448242773,,300.84751989999995,232.55137059599994,0.341963568
Mining,0.0,,0.0,0.431919226,11584.24636306,,0.9419210329999999,,,2.736315082,1.095635474,0.42866934199999995,,,0.421907679,
Mosaic of Agriculture and Pasture,1.420631696,,0.0,0.0,,158.87201916499998,0.165939728,,0.0,0.0,0.501805371,0.0,0.0,,0.0,0.16644552599999998
Natural Forest,153067.81942122502,3.304487537,11328.838458708002,15099.769472329004,7.335660919,0.249265656,104362418.94860466,1.3599104489999998,0.0,23202.22822342499,642755.8923793798,40062.324333797,0.0,345.57702098,225.90560520800003,0.0
Non Observed,0.082460504,3.572568201,,0.0,,,1.007940399,19.633374162,,0.0,0.910952332,3.202426288,,0.17860282600000002,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.082667328,,0.0,,,,,
Other Non Vegetated Area,20005.556404060997,25.98950743,74.447748883,6527.310284773001,0.6041740480000001,0.0,3232.3750265979993,0.35729954799999997,,384433.84557246004,27826.762457990993,315.555883073,,5.8053244379999995,750.253092104,
Pasture,306571.255746719,2.5897317319999997,5963.124717346,72293.96923350001,10.602091485999999,0.922600232,130970.443698762,0.169237091,0.0,21715.97512654,60286000.20096999,3306.3955632619995,,34.55694014,2313.866603549,0.0
"River, Lake and Ocean",59.643336119000004,32.9561771,0.0,543.148837121,3.249839502,0.0,1779.071834809,4.037758832,,1532.297711061,1373.275726057,1048722.98566261,,43.58089039,1.510617742,
Rocky outcrop,,,,,,,0.0,,,,,,0.33945772700000004,,,
Salt flat,0.0,0.357222455,,5.35882749,,,2.7683681890000003,0.0,,5.000688501,0.267907135,34.47556123,,9953.566887238,0.0,
Urban Infrastructure,1.102487458,0.0,0.0,0.766038569,0.16864967,,0.952371992,,,3.2437515930000003,4.184084039,0.083011121,,0.089299512,406379.51894700003,
Wetland,,,,0.171790778,,0.0,0.0,,,,0.0,0.0,,,,4.27742273
