,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,11559106.254105015,0.267888898,1575.7046795089998,9555.961408455,0.0,1.084934186,9584.920190989003,0.8243028319999999,,4474.762888491,214489.416532435,701.713028139,,0.0,379.530773128,0.0
Beach and Dune,0.17860091600000003,103396.75845468,,0.0,,,1.250331329,5.537121606,,75.46665007,3.2149648319999997,38.58192639999999,,0.44653034700000005,0.0,
Forest Plantation,3864.3036382819996,,1419313.432944581,183.95949237399998,0.0,0.0,2147.53029827,,,168.72715918400002,1348.707504882,0.085780139,,,4.586289709,0.0
Grassland,118242.25722330497,0.71443764,911.037116668,18235403.823790997,2.047810657,0.263066211,9696.356535284001,0.17650752600000003,,36581.278229045995,40520.42752106,2327.3463805700003,,2.76847171,414.662671734,0.172009515
Mining,0.5052549129999999,,0.0,0.777029761,12216.527716319999,,1.643636572,,,3.074778058,1.9584992190000001,0.518294214,,,1.0174858340000001,
Mosaic of Agriculture and Pasture,2.9264992260000002,,0.0,0.0,,160.104123553,0.083927399,,0.0,0.0,0.25036749199999997,0.0,0.0,,0.0,0.0
Natural Forest,154486.56048741896,9.645533886,13406.014724817,26990.282394069996,27.084708374999998,0.333941138,100620327.72406292,0.516727009,0.0,29375.533603497992,653413.71493268,43733.404145041,0.0,7.947777844,258.464931703,0.0
Non Observed,0.500942518,2.054204883,,0.0,,,0.746264807,25.187832805,,0.43376616200000007,0.248717358,3.285387299,,0.357196558,0.0,
Other Non Forest Natural Formation,0.170837708,,,0.0,,0.165883539,0.0,,1.623087769,,0.0,,,,,
Other Non Vegetated Area,64279.19650519601,184.4233127,260.263443626,9375.065204745,0.602123901,0.0,2026.256049568,0.26795116,,518569.79413389997,31570.323258342003,2560.3461865159998,,1.96475835,751.9803623070001,
Pasture,588536.5876217373,11.520907300000001,11954.264595621,63617.11846278001,35.257987341,1.574479272,97678.56009746001,0.49607392,0.43023075,12609.554118265998,62092347.28469,27824.002437052,,0.0,3600.2549582910005,0.0
"River, Lake and Ocean",39.301265457999996,119.94432959999999,0.335866949,143.02085252,19.49400992,0.0,372.9496500419999,2.149596979,,534.654714656,148.01560275699998,1114298.02135165,,5.89448454,12.673170341,
Rocky outcrop,,,,,,,0.0,,,,,,0.7643827940000001,,,
Salt flat,0.0,1.1610565000000002,,142.8076032,,,13.2156927,0.267901294,,29.82721387,0.8929797490000001,18.66678184,,7261.511399116001,0.0,
Urban Infrastructure,0.674390125,0.0,0.083073566,0.6841733029999999,0.598329571,,0.8654932129999999,,,2.5811267989999997,4.6827199770000005,0.168775708,,0.0,476635.65754000004,
Wetland,,,,0.257933582,,0.0,0.0,,,,0.0,0.083085101,,,,7.198904388000001
