,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,9657403.293435296,0.0,259.812906301,36808.49601131999,0.0,0.832397272,12433.035891989,0.0,,6472.446420803999,213805.018492652,486.02218033,,0.0,593.015990786,0.0
Beach and Dune,0.0,104882.22352268001,,0.982283655,,,1.518249561,1.875730505,,135.844026179,10.893552033,20.272787313,,1.071756671,0.0,
Forest Plantation,1515.595166292,,1316283.2217792321,28.137406880999997,0.167476959,0.0,3366.092626621,,,3.492112568,214.72151319300005,0.0,,,11.507309302,0.0
Grassland,83491.40064496703,22.86261208,543.0317701009999,18481547.73002,0.591485846,0.0,12799.470339927,0.0,,13955.809390567,38965.67732268,1413.156828758,,206.1056603,189.72968575899998,0.0
Mining,1.118367816,,0.0,0.858077338,11402.7651347,,1.469468688,,,1.1102771909999998,1.7028589410000001,0.169735565,,,0.255794556,
Mosaic of Agriculture and Pasture,2.163521467,,0.083236517,0.0,,150.271214155,0.08309907799999999,,0.0,0.0,0.16593381899999998,0.0,0.0,,0.082919147,0.0
Natural Forest,209031.13019503595,25.898391377,15213.176663792,14982.878642665,7.3933813420000005,0.583104871,105294470.70789546,0.338075031,0.0,30646.716388585002,633659.9730646899,48198.29439382501,0.0,444.9720891,201.865139066,0.0
Non Observed,0.0,1.429145197,,0.082971802,,,1.5244645270000001,24.605101997,,0.165877942,0.522515607,3.380697815,,0.0,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.597933685,,0.0,,,,,
Other Non Vegetated Area,11488.180105580002,37.50952677,78.091497669,3652.6306378019995,0.853947333,0.0,2299.665087773,0.248708386,,373908.80450860003,29394.346704270996,811.691095603,,2.94695166,907.043513941,
Pasture,384187.53839453514,19.73600321,6780.885955959001,65208.0173515,11.387924048,1.255502447,134624.88191571,0.168036352,0.0,12023.270160666996,59781426.59926999,10485.460039595,,116.3531054,4033.1601645579995,0.0
"River, Lake and Ocean",73.92058012,69.39416288,0.082751416,436.176877197,0.42117585399999996,0.0,787.9909262749999,1.530972748,,765.5384441250001,210.08315404100003,985393.28862119,,14.64701903,0.262078516,
Rocky outcrop,,,,,,,0.0,,,,,,0.679290332,,,
Salt flat,0.0,0.267941864,,5.090686078,,,2.232596686,0.0,,0.9824498229999999,0.089289984,5.537189142000001,,8227.314783130001,0.0,
Urban Infrastructure,1.0296887940000001,0.0,0.0,0.424432923,0.506433142,,0.7870967280000001,,,3.3520808349999998,3.501943598,0.0,,0.357182806,392738.44267079997,
Wetland,,,,0.42975186200000004,,0.0,0.0,,,,0.0,0.0,,,,5.649931696
