,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,8520990.36940051,0.0,1847.310401578,50722.15164966,0.0,0.8333291809999999,15331.486947442994,0.082460504,,7793.414395165999,300253.12660786504,725.2988888550001,,0.0,333.081707818,0.0
Beach and Dune,0.0,101749.85504304,,5.269133215,,,27.23835502,2.411543896,,238.17172765799998,50.18916674,97.52893036,,1.4289485780000002,0.0,
Forest Plantation,1105.4634240680002,,1155125.881320237,4.140511664,0.0,0.0,68.006506922,,,1.966549848,28.098142829999997,0.0,,,0.0,0.0
Grassland,88045.43487307901,1.250296643,1392.8804764700003,18687846.21532,1.108461096,0.0,22541.936897354004,0.0,,16520.090067254998,36542.72091992,494.212124742,,4.37624115,67.51401389,1.188476739
Mining,0.17186273800000001,,0.0,0.8575173220000001,11175.13164107,,3.106542817,,,1.789556604,3.334136506,2.145379572,,,0.25649931000000004,
Mosaic of Agriculture and Pasture,2.0762186650000003,,0.0,0.0,,147.171584896,0.33194811999999996,,0.0,0.0,0.751175318,0.0,0.0,,0.0,0.0
Natural Forest,233288.84541810004,2.32190506,43018.195093944,17859.137082924997,3.498341003,0.41853122600000003,108373242.06202863,1.523431555,0.0,24753.210856438,836859.5762816871,14440.370804832,0.0,3.9296684749999997,84.392331548,0.0
Non Observed,0.0,1.339653137,,0.089299274,,,1.0906405090000002,22.093102358,,0.267949017,0.6651623600000001,1.397059418,,0.535798242,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.625754517,,0.0,,,,,
Other Non Vegetated Area,15619.882339225001,44.38683354,200.401230214,7745.069164166999,0.516369604,0.082709912,3375.8777736090005,0.0,,403187.21070219995,40427.71375806299,884.4670258350001,,4.108239795,305.34574986200005,
Pasture,341311.6304917559,3.036135272,7620.60493558,51578.6432772,6.567984752999999,1.33546682,156896.68728720004,0.33707403599999997,0.34167639200000005,16651.989442215,57498069.65104,8467.546591464,,0.08929387800000001,1036.6015466610002,0.0
"River, Lake and Ocean",353.326669156,54.74459681,0.0,675.5721887349999,0.17118914200000002,0.0,1180.5565987030002,1.652038434,,342.375765964,160.098428991,975860.5668969001,,250.918963,0.258604395,
Rocky outcrop,,,,,,,0.0,,,,,,1.105857568,,,
Salt flat,0.0,1.33954787,,635.366909,,,778.24319928,0.267896832,,7.054403088,196.44643169999998,36.26072811,,9745.800932787,1.6073419919999998,
Urban Infrastructure,0.9331500660000001,0.0,0.0,0.864753167,0.0,,1.2293706970000002,,,3.162404407,3.505274072,0.0,,0.0,347978.8553434999,
Wetland,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,6.570690051
