,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,19190511.33127328,0.267890253,10880.145474733004,9396.866865741002,1.181609015,1.579923358,14958.889781959002,0.082392932,,5956.776158853001,209739.87386331204,2130.588423455,,0.0,1327.8167162919997,0.0
Beach and Dune,0.0,107613.96820729,,1.8754054690000002,,,4.64421051,5.0905362610000005,,284.2711251,2.947081921,112.704877,,1.8753192019999998,0.35720465700000004,
Forest Plantation,5483.271295489,,2626727.1288419003,76.925290579,0.08430471199999999,0.0,6965.830297192001,,,6.561099359000001,638.9215250070001,0.418011017,,,77.133951563,0.0
Grassland,66836.17044580099,9.734629047,1593.046915998,17159816.640411,2.572133813,0.0,9026.101359085,0.9119511109999999,,51427.945246070994,53972.77609153,1812.8633853160002,,14.55782261,468.37672815100007,0.16825188
Mining,5.358556609999999,,0.0,2.054423425,13750.69506114,,1.644761645,,,77.28805382,5.82643075,4.2255923090000005,,,17.139800133,
Mosaic of Agriculture and Pasture,3.0903411689999998,,0.0,0.0,,163.16929266700004,0.25154466600000003,,0.0,0.0,0.168652545,0.0,0.0,,0.252186273,0.0
Natural Forest,109864.70250658202,11.34321383,22071.43469251,28157.765642321,40.558654772,0.494712775,93565976.67835099,4.177748835,0.0,50774.581751409,576795.9212301301,5017.166963194999,0.0,13.305525524,627.2351119919999,0.0
Non Observed,0.082527911,1.875590192,,0.331692401,,,0.26155176999999996,25.568580385,,0.803733899,0.83964939,10.646677068999999,,0.446496545,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.331866803,,0.0,,,,,
Other Non Vegetated Area,32853.740782164,85.73798783,348.96435680499997,6675.814872169999,3.735054883,0.0,6853.940077326,0.44652431600000003,,429671.9974814,29911.345529345002,486.827499993,,1.9646539180000002,1342.4774651100001,
Pasture,709694.9336736931,11.60928665,93328.25524094,48459.88374440001,47.086149202,1.5052988580000002,152814.80832789998,1.001454144,0.0,19845.575813284995,60965160.20682,3785.47023242,,0.0,7239.812071845001,0.0
"River, Lake and Ocean",508.40539575899993,109.2310366,0.17167854,2137.73179001,18.725934918,0.086132971,4450.972403128001,3.457785212,,13490.743091326998,17101.503890915996,1375691.0224603899,,3.929395923,29.099932666,
Rocky outcrop,,,,,,,0.0,,,,,,0.7646086,,,
Salt flat,0.0,0.714412177,,9.108753931,,,2.5003400389999997,0.089298889,,2.589899438,0.0,2.7684103089999996,,6593.581277374999,0.0,
Urban Infrastructure,1.1018162219999998,0.0,0.0,0.42563955100000006,2.545817944,,0.951509283,,,1.037235456,4.33776845,0.08906124900000001,,0.0,616482.968022,
Wetland,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,7.622680664
