,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10400413.03365136,0.0,14004.940367987001,56010.743318507004,1.200607483,4.004320996,57499.53777261298,0.08239035,,12254.250044882,849767.4151927499,1560.985576793,,0.0,9554.473120955,0.0
Beach and Dune,0.0,99804.045318268,,254.70342000000002,,,194.780507865,24.20367999,,386.0617569,268.8091768,1424.2269449359999,,25.00450347,0.089314374,
Forest Plantation,41401.63868438601,,1347644.2603428601,1366.0778124919998,1.433574445,0.0,12647.750530020001,,,72.657545,7059.9486995980005,1.506095392,,,331.75407443,0.0
Grassland,864868.6906636033,355.25366280000003,20266.969025487997,17038285.939271003,72.848449642,0.0,47407.015401406,0.082974438,,43517.573626100995,480874.4691179,8971.839848368,,57.95802912,4715.921680040001,0.516216827
Mining,8.980398852,,0.16879599,160.127547091,10610.913767,,111.45795025,,,387.418061459,495.06061136999995,137.832764761,,,104.25045214,
Mosaic of Agriculture and Pasture,16.176187765,,0.335123523,0.0,,136.908088548,5.832025817000001,,0.083141229,0.0,4.097400904000001,0.0,0.0,,0.166386347,0.08319361
Natural Forest,1868171.8659472673,1049.234865166,300727.39869243803,195641.81397634203,933.3718776530001,1.254445002,93368186.93427815,4.930409589,0.0,67785.13233424198,6423076.838265485,149777.01490566996,0.254629144,64.207942234,11773.289355985,0.0
Non Observed,0.742033759,4.555246771,,0.25217832,,,2.76833385,9.800460742,,0.0,1.90564967,8.299167021999999,,0.357199011,0.165421716,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.936877826,,0.0,,,,,
Other Non Vegetated Area,51103.00642341103,1094.822061736,2126.6690693040005,27689.143855908,45.614784113999995,0.0,12323.772524243997,0.6185471069999999,,376073.5244829999,60575.104298770006,6134.067818781,,6.25115379,8143.459658507001,
Pasture,4485112.889858049,432.23984508999996,490483.61201141996,263387.49537759996,1233.6883486,20.012615265,2026136.91462351,1.403686688,0.0,24896.252293319005,55082484.022690006,68366.435732153,,0.267898376,59927.73688744,0.0
"River, Lake and Ocean",95.925197954,2140.2623655250004,0.8464150029999999,2910.058716505,310.93456409199996,0.083128827,9552.922802916,7.2657796569999995,,3227.3984195129997,4474.986449932001,1094863.9258751199,,88.239497415,68.869049439,
Rocky outcrop,,,,,,,0.0,,,,,,0.51031944,,,
Salt flat,0.0,82.51911435,,360.2608067,,,408.08479159,0.44650455899999997,,84.29768696,54.56527025,45.45600964,,7678.559868894,0.089296454,
Urban Infrastructure,0.33429216900000003,0.535808191,0.165421405,0.6887670770000001,3.390156922,,0.6934989810000001,,,0.512590479,2.6467577399999995,0.0,,0.0,459555.30083500006,
Wetland,,,,0.25417424899999996,,0.166451453,0.0,,,,0.0,0.0,,,,6.287045954
