,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,16434831.63264866,0.79440144,4408.978074086,13472.747103082998,0.169235706,1.9237081299999996,9743.009638272997,0.0,,4701.46076713,140424.63955311902,413.9267824609999,,0.17859259600000002,533.315040229,0.0
Beach and Dune,0.0,104472.639059033,,0.17861602199999999,,,3.304745221,8.037984924,,102.3453507,28.21966024,61.98098431,,2.50048667,0.0,
Forest Plantation,5347.903492271002,,1755020.05278626,43.260256168,0.0,0.0,1742.743159885,,,17.544626747000002,427.242043582,0.832981659,,,0.0,0.0
Grassland,62779.561947055,1.6075090580000002,1498.045580914,17681643.482646,2.049674329,0.0,14094.322279814998,0.968312299,,29547.701567057993,41035.57361889999,712.494834197,,9.823879382000001,218.20445216899998,0.42916593
Mining,0.932858441,,0.0,2.060340797,13337.339612770002,,2.751793701,,,19.893358847000002,10.024633886,38.321643655,,,3.0457761420000002,
Mosaic of Agriculture and Pasture,4.7583067020000005,,0.0,0.0,,171.123224178,1.0828009399999998,,0.0,0.0,0.26296789600000003,0.0,0.0,,0.0,0.0
Natural Forest,87644.750134986,5.358858746000001,31391.073849712004,28935.509914262,23.309551448,0.49868975200000004,95877755.84757736,0.669823028,0.0,22708.669467102998,441366.01196020003,4769.504670966998,0.0,13.307803117,359.141463119,0.0
Non Observed,0.164934998,8.127281072999999,,0.082935632,,,0.701659984,37.493129696,,0.605840698,0.331148083,5.767044848,,0.0,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.41405634799999996,,0.0,,,,,
Other Non Vegetated Area,18269.525309306,97.1685202,705.469136667,9736.273198927,1.2042572329999999,0.167100616,4158.859226402001,0.08929706400000001,,415413.0625348999,25419.962659284003,675.354267615,,8.662505603,647.894112208,
Pasture,457123.91323476407,4.644140009,101291.97961446301,54850.458562199994,22.666129211,1.828941101,146719.14407687,0.577629907,0.0,15655.789221680998,62490556.372600004,2246.5434123839996,,0.9822959109999999,1704.4566726419998,0.0
"River, Lake and Ocean",18.509565503,103.598272956,0.170615442,450.37036403800005,153.44312785999998,0.172261487,1801.032689567,6.01563161,,616.628476249,2224.7625875890003,1333050.5554839098,,8.573740247,0.6109226990000001,
Rocky outcrop,,,,,,,0.0,,,,,,1.3604060669999998,,,
Salt flat,0.0,1.339532196,,65.63524956,,,31.433853357,0.267905377,,7.680408521,3.0359862730000002,12.41405811,,10314.492330334,0.714378857,
Urban Infrastructure,1.254401801,0.0,0.0,1.212610169,0.6761877869999999,,1.2169083130000002,,,2.064950891,3.433560767,0.0,,0.357224146,546426.1052560001,
Wetland,,,,0.34357387100000003,,0.0,0.0,,,,0.0,0.0,,,,7.125238550000001
