,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,7210336.450382109,0.0,8.033960753999999,316997.805545481,0.17142041000000002,0.0,36548.909660224,0.0,,35393.032330238,108791.597726721,88.16077750400001,,0.0,649.298183948,0.0
Beach and Dune,0.0,96336.11231613,,8.574451343,,,25.00713234,2.411497308,,36.52819781,48.85308534,244.2714574,,0.446595404,0.0,
Forest Plantation,498.07440069000006,,924151.8720777,7.980079345999999,0.0,0.0,172.490227581,,,12.056433713999999,119.37461495099998,0.0,,,0.0,0.0
Grassland,11667.616829879998,0.357212921,37.771238943,19268577.439482,0.433490747,0.0,76636.24858844801,0.255155298,,13824.486572450998,29895.446635406,1816.8211915900001,,8.037944849,333.63190198200004,0.085954901
Mining,0.17275866700000003,,0.0,1.212480823,9455.98546062,,3.0267936709999996,,,1.798343188,2.476976703,0.08431965300000001,,,0.25244536100000003,
Mosaic of Agriculture and Pasture,0.0,,0.0,0.0,,144.236972671,0.0,,0.0,0.0,0.6769116629999999,0.0,0.0,,0.0,0.0
Natural Forest,71978.11897977999,2.500542224,520.038680895,14128.668476618,3.1097481809999996,0.0,114494652.47580989,1.610516607,0.0,18790.553647967994,125706.26785641699,3060.4156194009997,0.0,7.501369263,656.12987669,0.0
Non Observed,0.0,1.964791846,,0.086218445,,,2.1235392209999997,18.510639496,,0.0,1.080112408,2.628086206,,0.0,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,3.5968251950000005,,0.341121436,,,,,
Other Non Vegetated Area,55548.73764853599,80.37543903,2.396369525,8493.806185141999,0.42914074700000004,0.0,8373.297860215,1.7159462159999999,,537370.9707764,45437.56366126,3915.9541474299995,,2.3219992190000003,6347.57664242,
Pasture,78749.660820147,3.572141675,238.77240392599998,41489.57941608,5.345747968,0.0,207033.94766839003,0.666406897,0.256239258,27775.195000174997,53388727.93519,433.3205699010001,,0.0,3758.5700375510005,0.0
"River, Lake and Ocean",193.875963544,23.756352012999997,0.0,502.511650351,0.0,0.0,2866.014012637,1.3012538809999998,,1026.931943382,589.498022739,964966.34231126,,9.467241351,33.512505949,
Rocky outcrop,,,,,,,0.0,,,,,,0.341644226,,,
Salt flat,0.0,0.0,,3.125711462,,,2.85754961,0.178601166,,1.78621355,0.267909369,28.93736353,,7216.046023479999,0.0,
Urban Infrastructure,0.16778458899999998,0.0,0.0,0.255908539,0.0,,0.0,,,0.8499084350000001,2.561098492,0.0,,0.0,192911.50746716003,
Wetland,,,,0.769695014,,0.0,0.08309401200000001,,,,0.0,0.0,,,,5.732922644
