,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,8963332.824039916,4.375646875,28078.163926323,69292.953698133,72.763171338,3.4087845999999997,79478.039354392,0.0,,19072.879918394003,742633.3088376629,2233.125853142,,0.0,24060.130257415996,0.0
Beach and Dune,0.17860091600000003,100484.93539967999,,351.15232279699995,,,315.333735088,13.66401761,,1277.372277,319.881971,2256.264652513,,31.79135792,4.107641467,
Forest Plantation,71783.471615546,,1229151.4000827852,977.800619196,5.570561303,0.0,8708.286278164001,,,44.347373002000005,10111.187883156,4.686906048,,,636.184058355,0.0
Grassland,1354623.691754242,816.182676,37631.62778431999,16446452.488037001,107.21054926400001,0.0,50317.91684434001,0.17859787,,51345.37920273999,665994.2798813,12415.681977728997,,30.89997875,13400.02911709,0.0
Mining,29.544925896000002,,0.0,325.679404602,9688.45880923,,142.000485626,,,517.49490853,376.0827777,130.946366597,,,199.242038014,
Mosaic of Agriculture and Pasture,18.680422999999998,,0.494704388,0.0,,121.642442956,6.679145624,,0.083141229,0.0,3.5194996830000003,0.082199475,0.0,,1.3363167050000002,0.332051105
Natural Forest,4197882.373961249,1237.542684602,536694.4668469528,147857.50429762003,1827.0018363469999,1.498111963,89651446.43053469,8.807382074,0.0,82177.39389221702,11297622.7174318,289684.568158567,0.0,164.57625066,40278.864625065,0.165927545
Non Observed,0.49472029999999995,1.429054077,,0.331740979,,,2.3412610839999997,6.4252361570000005,,1.071612079,0.914390734,17.842643238,,0.446495331,0.413620905,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.597933685,,0.0,,,,,
Other Non Vegetated Area,26054.130443375998,291.3162395,1936.281565503,17385.68105097,146.188662232,0.0,14234.700636547,0.35079398800000006,,294554.23527474003,52769.00938059899,3491.8541392439997,,0.17859259,11718.085514270002,
Pasture,7747554.1546738995,271.39669080000004,1003175.9306812771,369676.10190300003,1930.023786022,31.173800729,2736635.5032762354,1.736363678,0.0,27906.781025871,48281375.35211399,85807.45700804997,,0.982329041,144552.0394687,0.083495221
"River, Lake and Ocean",886.4125930340001,1972.883609972,8.277686096,6989.19314566,338.21899729,0.0,24233.379215625,5.039228747999999,,10631.704529156,59293.649984136,883019.5061125099,,97.69818302,277.373372482,
Rocky outcrop,,,,,,,0.0,,,,,,0.679290332,,,
Salt flat,0.178592065,85.64251815,,259.89697590000003,,,576.7241463,0.089301904,,160.46958869999997,69.112463271,53.67431873,,7004.383953068999,31.34307877,
Urban Infrastructure,0.0,0.0,0.0,0.086108771,21.203257739999998,,0.5252605659999999,,,0.08877830199999999,2.406604358,0.0,,0.0,392724.0915078,
Wetland,,,,0.42980889899999997,,0.0,0.0,,,,0.0,0.0,,,,5.649874658
