,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,8308533.073466011,0.0,1326.07935019,55861.38124928101,0.171408136,0.25075510300000003,22284.628884466005,0.0,,9300.522923593002,319444.7152719838,59.429114358,,0.0,1322.555011229,0.0
Beach and Dune,0.0,103298.18753212,,4.197537494,,,8.573752837999999,2.143604285,,311.59033650000003,7.590747968,91.54519783,,5.983363275,0.0,
Forest Plantation,757.96295573,,1161869.08336179,603.729878999,0.0,0.0,34418.367087278995,,,268.012713231,3807.963215498,0.5862190310000001,,,3.90133089,0.0
Grassland,106250.206832805,1.33959173,305.268219551,18748576.211011,0.345275427,0.0,16330.755679907,0.25526178,,12495.766519211,39540.99184498,643.015611344,,14.02251986,376.207258077,0.343972485
Mining,0.5169501830000001,,0.0,0.686289319,11187.46776953,,3.357484028,,,1.7973596429999998,3.239018884,0.0,,,0.337481214,
Mosaic of Agriculture and Pasture,3.3318304209999994,,0.0,0.0,,146.83989886400002,0.9169346979999999,,0.0,0.0,0.834715332,0.0,0.0,,0.0,0.0
Natural Forest,171644.393230999,2.5006711790000002,14064.537212382,12440.735201772999,3.975569196,0.24941412400000001,109486519.38084076,2.173694727,0.0,20557.335818534,724582.2075818101,1511.9962024429997,0.0,15.362138697,214.424224874,0.0
Non Observed,0.164879468,2.143481854,,0.165831445,,,0.510262335,21.698034475,,0.0,0.082876117,1.109857543,,0.267902875,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.453877906,,0.0,,,,,
Other Non Vegetated Area,16601.068491919,35.6355991,30.913293308,5867.902342398001,0.25779054,0.49905883799999995,2844.3963759730004,0.17859812,,399104.84448873,41419.003735205,750.1040627430001,,0.8037314640000001,3817.711895256,
Pasture,289185.602444464,4.018595587,4657.690989124,52223.59588300001,2.9202860470000003,2.006606483,139886.18264480005,0.496478717,0.0,21526.526476890005,56764584.33698,681.517575768,,0.625155432,7513.023899437998,0.0
"River, Lake and Ocean",180.904087202,51.70915156,0.0,251.51788325899997,0.17120233099999999,0.0,2000.6494268300003,1.135388227,,670.52029336,197.43122592900002,977473.0942299002,,94.3955225,6.6951485040000005,
Rocky outcrop,,,,,,,0.0,,,,,,1.1039879209999999,,,
Salt flat,0.0,0.17859685100000003,,8.483942772999999,,,32.681882767999994,0.26789765600000004,,1.875308624,0.089296259,45.55080091,,11205.693084473,0.0,
Urban Infrastructure,0.5112417659999999,0.0,0.0,0.518470166,0.0,,0.262488697,,,1.638289464,2.299813002,0.083011273,,0.17859340199999998,322564.2463744,
Wetland,,,,0.42038902,,0.0,0.0,,,,0.0,0.0,,,,5.116497308
