,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,18190574.770893566,0.0,27839.658728346003,25022.207905143994,0.08506209099999999,0.417522516,43780.18615858299,0.16508877,,13851.96113505,438816.022715561,825.299786815,,0.0,826.64152514,0.0
Beach and Dune,0.354097656,107150.99104855,,0.714469934,,,3.215306903,8.663433087000001,,208.5402344,3.3044024110000003,109.4967095,,1.87532655,0.0,
Forest Plantation,8285.29481,,2405380.07868315,24.971829108,0.337976093,0.0,1762.512961261,,,11.900758759,365.606643713,0.50842868,,,14.584869294,0.0
Grassland,114544.800654675,3.8401771910000004,2586.360288216,17293220.654269002,3.950676288,0.0,14630.320723345001,0.08290154400000001,,37994.963471822004,48876.12307135,840.448717044,,8.573861774,128.82169858600002,0.33815472399999996
Mining,3.9689618599999994,,0.0,3.249237683,13619.90896086,,0.862441639,,,48.194364013,11.518976085,1.544988464,,,14.540774254999999,
Mosaic of Agriculture and Pasture,4.2637834230000005,,0.0,0.0,,164.85764497600002,0.413100598,,0.0,0.0,0.08603125,0.0,0.0,,0.0,0.0
Natural Forest,161613.53693282895,25.987665115,27976.289998009994,34139.636509699994,31.317522979,0.250970319,94299185.37282264,3.004056866,0.0,27285.016838016007,462255.75581456,3992.4751125940006,0.0,16.520517066,346.12587657299997,0.0
Non Observed,0.659853809,5.001221503,,1.128441571,,,1.3015212829999998,23.267105055000002,,0.17860010399999998,1.451501172,11.81388656,,0.08929931599999999,0.16548833,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.6698256899999999,,0.256100757,,,,,
Other Non Vegetated Area,55223.668186863004,64.57093196,1167.088429999,8189.188834523,1.196894233,0.0,6830.884074335,0.35720507799999995,,385529.96123387,20331.909533193,328.848537232,,3.8403914180000003,613.332286676,
Pasture,830296.9202025608,23.21950771,125494.03932452,54015.349054700004,91.164902463,1.7544133729999998,157005.27447969996,1.159801758,0.0,18267.770759930005,60947759.491689995,1673.5093239120004,,0.0,3438.5794423589996,0.0
"River, Lake and Ocean",119.08836275600001,244.1770335,0.341111371,666.202854256,66.239653891,0.0,2402.808513616,4.076017694,,2758.8670236479998,2440.959753389,1412078.1522832098,,34.73734975,10.671265881,
Rocky outcrop,,,,,,,0.0,,,,,,1.2744338929999999,,,
Salt flat,0.0,5.269097919,,32.06065473,,,2.857578106,0.0,,7.7692678410000005,5.090887817,2.768519281,,6537.250581,0.0,
Urban Infrastructure,0.252044873,0.0,0.0,0.7836423829999999,0.849249213,,2.10557359,,,2.1676609549999997,5.042442651000001,0.0,,0.0,604310.9992819999,
Wetland,,,,0.42792106899999993,,0.0,0.0,,,,0.0,0.0,,,,7.723749878000001
