,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,7078097.116097958,0.0,69.787696665,12331.997811795003,0.0,0.165657336,13363.746572001999,0.0,,10014.601789139999,117299.94450500901,75.681208427,,0.0,1164.612053363,0.0
Beach and Dune,0.0,94679.04267155999,,1.071712134,,,7.5016527580000005,0.982371936,,64.747801896,8.037901074,52.33522667,,0.17861358600000002,0.0,
Forest Plantation,307.334791886,,959893.351008096,5.397773449,0.0,0.0,171.93565086499999,,,5.248452112,32.550078213,0.0,,,0.330869501,0.0
Grassland,21471.905408204002,2.857696082,561.864670306,19355561.501059998,1.0349357000000001,0.0,78725.583884485,0.165859064,,13426.435801435,62577.85064857501,555.605432124,,10.80624413,311.436498924,0.171841309
Mining,0.60244129,,0.0,0.5187245,9565.70839014,,1.8145349179999999,,,0.9408558220000001,1.27976264,0.168634326,,,0.0,
Mosaic of Agriculture and Pasture,0.166412744,,0.0,0.0,,152.76212087,0.086374158,,0.0,0.084060345,1.755492627,0.0,0.0,,0.084192114,0.0
Natural Forest,177292.44767898798,11.342047079,16501.866686622,15268.332226981001,7.581172949999999,0.9139490720000001,113948641.02990581,1.007727923,0.0,29736.609238269994,1143721.7858917841,2737.552629404,0.0,15.627332673000002,606.8832458559999,0.0
Non Observed,0.335806458,2.67925,,0.0,,,3.374205091,20.183057910000002,,0.446502209,0.5868505740000001,1.2246513490000002,,0.0,0.330426605,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.5385009269999999,,0.08528054800000001,,,,,
Other Non Vegetated Area,11991.117406366,56.97819713,84.441927708,8571.132375311001,0.9460369570000001,0.0,6771.866775549999,1.505091443,,436138.38554686,55063.527712296,1659.97359288,,10.00280504,4802.486852180999,
Pasture,115104.74754339599,28.22050684,5027.397084612,55261.3670342,20.05886368,1.581174591,356765.27079062106,0.510049505,0.0,12808.984562141002,53013697.85548001,1386.2783539739999,,0.0,6435.717753233001,0.0
"River, Lake and Ocean",21.015948145,211.844088,6.212064612000001,372.57410445700003,0.0,0.0,2102.8911878500003,1.2376383789999998,,673.1633826099999,190.81428889999998,955395.9177003901,,30.27476111,17.99381126,
Rocky outcrop,,,,,,,0.0,,,,,,0.5982074100000001,,,
Salt flat,0.0,0.35725355200000003,,3.304455634,,,4.018722082,0.267899634,,19.19958933,0.0,37.32923186,,7409.920302805999,0.0,
Urban Infrastructure,0.08384019200000001,0.0,0.0,0.0,0.0,,0.34914202299999997,,,0.607817108,1.7203778010000002,0.0,,0.0,233252.6058157,
Wetland,,,,0.343896356,,0.0,0.0,,,,0.0,0.0,,,,4.78602666
