,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,11664888.597784853,0.8930241090000001,15906.525639235,45454.803616592006,0.421413928,3.7539774300000004,49643.83301908702,0.0,,8885.613756002,806707.9187433501,1357.0192460960002,,0.0,6997.594771573,0.0
Beach and Dune,0.089298944,102715.38503978301,,211.4804701,,,163.344944033,23.04247503,,389.5451521,254.1617497,1382.789611247,,18.30690999,0.178593585,
Forest Plantation,36229.630271851,,1403066.60251615,1231.913380169,1.9401750979999999,0.0,12288.487733438998,,,50.217536838,4950.796030298,2.246992328,,,304.497766089,0.0
Grassland,688922.089243944,292.91809489999997,19245.028491510002,17108482.416472003,57.11655155,0.0,43791.180658491,0.082974438,,37680.498493887004,431870.02716070006,7619.254491091,,119.8482946,3039.295513387,0.600207904
Mining,12.221400482,,0.252532135,149.76550973599998,11230.10006465,,104.53699351399999,,,375.821762883,466.919854009,138.012590767,,,92.755851471,
Mosaic of Agriculture and Pasture,14.752193665999998,,0.330619171,0.0,,140.78476940000002,4.256009113,,0.083141229,0.0,3.943959284,0.082199475,0.0,,0.084062469,0.0
Natural Forest,1379044.3544320574,499.771073686,261089.476616749,172297.11416862297,664.574284157,1.257113447,93476496.71091494,4.853849793,0.0,63591.73481084301,4979131.305254032,80794.735045636,0.084677124,28.935749805,7999.744013507,0.0
Non Observed,1.660606397,6.698757532,,0.165959875,,,3.0551364549999995,12.308302977999999,,0.446485321,2.237293146,8.477702881,,0.44649635600000004,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.5395510319999999,,0.344184375,,,,,
Other Non Vegetated Area,62662.917985176995,1187.99109,1948.647233294,28604.678040582003,31.65753369,0.0,12593.161932088002,0.618753076,,404057.98810439993,55482.07602939,11210.421519503,,33.04323799,5700.945663685999,
Pasture,3921270.042305086,256.212649193,473614.013763112,234798.95160109998,1008.6074721190001,16.747315308,1801259.5767483003,1.4860998109999999,0.0,24232.750221318,56677459.34077,53570.128976306005,,0.178601398,44666.14279729,0.0
"River, Lake and Ocean",91.22063722600001,1172.659742283,0.759593317,2813.0410280519995,290.72039961,0.0,9528.608562248999,6.864074694999999,,2796.386793628,4062.539944243,1184885.4528360001,,89.135405045,35.37404354899999,
Rocky outcrop,,,,,,,0.0,,,,,,0.850786499,,,
Salt flat,0.0,44.56316216,,21.97125634,,,149.12476490999998,0.35719982899999997,,10.53873215,7.591847742000001,35.72287302,,6057.065130541,0.0,
Urban Infrastructure,0.585001099,0.267899457,0.082708807,1.038275434,4.057923345999999,,1.744682134,,,0.8533151370000001,2.464929627,0.0,,0.0,490147.499493,
Wetland,,,,0.171830786,,0.166451453,0.0,,,,0.0,0.0,,,,7.896639508
