,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,16225301.83513188,0.0,68906.99885924702,22619.463863126,17.804549534,2.0856740360000003,52961.53623827801,0.164882483,,14078.280398034998,729020.4888562178,2530.4314096619996,,0.0,14345.064286062005,0.0
Beach and Dune,0.9730022460000001,98625.921167235,,267.011344956,,,194.421345586,10.62776498,,4726.030143999999,100.46937,1154.8853479480001,,19.82499636,4.6434747860000005,
Forest Plantation,69782.497812547,,1851820.88152125,162.42143278499998,2.950687,0.0,2168.5547344749993,,,19.967461993999997,1551.3860927,0.598464203,,,598.915960633,0.0
Grassland,661787.2016913141,212.2719482,26335.131386480003,16373932.981701998,84.750491831,0.0,40306.50094027001,0.165915491,,53072.224441677,631696.6208042,7316.860316724999,,22.32787267,4952.571348151,0.509976996
Mining,91.198202895,,0.503751568,140.88498584299998,11609.71183636,,66.100987565,,,301.661780973,809.786281262,146.486272878,,,259.21755433600003,
Mosaic of Agriculture and Pasture,19.116394505000002,,0.576779382,0.0,,146.446192858,3.5113865300000002,,0.0,0.0,2.8581309399999997,0.084787073,0.0,,1.169874659,0.24961882300000002
Natural Forest,1823686.5086740293,179.074876748,265898.4724468901,71095.22817056699,661.040989676,1.845087312,88285866.56869115,11.384403089,0.0,62087.52885862399,5467209.8571469,58280.27088760599,0.0,74.475250302,15796.985051811,0.0
Non Observed,1.456689033,1.4291389769999998,,0.331708453,,,2.430423266,7.691174407000001,,6.282396447,2.858926373,30.589351189000002,,0.8036928409999999,0.330909888,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.083141229,,0.248241132,,0.0,,,,,
Other Non Vegetated Area,65296.884054928,620.5166568,2067.4498636299995,12592.812622143,85.96413647,0.0,9512.241371278002,1.026972967,,342551.6075652001,28716.619680561005,1824.358720583,,26.87986613,7947.969360960002,
Pasture,6528120.75789986,191.3790286,848340.0602802722,211006.30433299998,888.4433937509999,12.924041254,1648138.2576394,0.827382147,0.0,51930.09707885,53656390.79166,36317.599531978994,,0.178592615,74546.21934754,0.0
"River, Lake and Ocean",1928.2109301010003,1880.2879639440002,14.738349691999998,10990.224405306,305.126734953,0.0,29633.526499994994,3.6551995789999996,,22015.832623372997,92650.47682663001,1178949.9269286902,,21.7884816,276.45146332900003,
Rocky outcrop,,,,,,,0.0,,,,,,1.019530786,,,
Salt flat,2.232405481,63.04656442,,523.9557446,,,464.19739287,0.7144038509999999,,322.1327264,268.8677082,62.16050389,,8567.929971545998,55.45349233,
Urban Infrastructure,0.839615888,0.0,0.081702417,0.25534595400000004,36.515243688,,1.206815747,,,0.7792018620000001,3.9340592949999995,0.08407619599999999,,0.0,555200.393242,
Wetland,,,,0.429892737,,0.0,0.08329682599999999,,,,0.0,0.0,,,,9.100413275000001
