,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,19817777.900887597,0.0,11542.468393894,19769.351028379,0.513031341,1.330402881,22720.553202037,0.165179144,,12724.779878614998,338367.089948701,311.11420631100003,,0.0,1135.5360861600002,0.0
Beach and Dune,0.357243597,107125.40420927001,,2.8577811160000004,,,4.019011292,9.198034113,,212.37427430000002,5.001200195,126.9999628,,0.625116632,0.0,
Forest Plantation,20465.030099550004,,2764603.5560279754,72.335865158,0.08430485199999999,0.0,5488.399271967999,,,11.298610009999999,1011.1090776060001,0.423717426,,,84.45188574999999,0.0
Grassland,103764.77039799302,1.875465344,1089.164830524,17009136.309192,3.136122694,0.0,7548.443449244999,0.0,,22606.686144588002,44631.859694807,796.6053379770002,,8.663177441,272.630519177,0.08590778800000001
Mining,0.680305487,,0.084309698,2.1457630370000005,13929.693409080002,,1.1189221059999999,,,41.731734628,3.498154761,2.221417627,,,6.561564300000001,
Mosaic of Agriculture and Pasture,4.262901933999999,,0.0,0.0,,164.280739643,0.081780029,,0.0,0.0,0.334751141,0.0,0.0,,0.0,0.0
Natural Forest,196803.742474421,1.964851154,23128.675530542998,10849.366185093,10.882386463,0.508720227,92865683.18113892,1.658384619,0.0,21030.944425495,438149.6598420469,1704.8970173180003,0.0,2.58980976,524.149444269,0.0
Non Observed,0.33600185000000005,0.982365735,,1.078111804,,,1.5245539419999998,28.751863811,,0.612367248,0.6059920719999999,7.189254407,,0.08929993300000001,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.249192816,,0.0,,,,,
Other Non Vegetated Area,87631.950393353,172.90543430000002,592.723090544,6049.588453985,127.55381302600001,0.0,3705.546884775,0.625113507,,461214.46229980007,24746.384028694,540.038336155,,6.340924506,1090.508436372,
Pasture,1886866.517322041,16.25335082,58409.113762376,33369.12443509999,17.293969741999998,0.169175421,109647.52132089999,1.094912756,0.0,11328.277051653,59853681.41756,586.4372229429999,,0.089298322,4449.23012975,0.0
"River, Lake and Ocean",484.58690269199997,44.47929776,3.233369617,931.2809056590002,40.058218818,0.0,2085.674155901,3.501703875,,2797.9332506729997,18508.884948435003,1355126.7807935402,,0.7143978940000001,71.39340908099999,
Rocky outcrop,,,,,,,0.0,,,,,,0.848146161,,,
Salt flat,0.0,0.625119141,,6.697955914,,,7.411974785999999,0.089299139,,4.643684167,0.0,8.30487605,,6762.821400155999,0.0,
Urban Infrastructure,1.705708355,0.0,0.0,0.433328565,14.056902347000001,,1.035420471,,,1.5515528140000001,5.174505357999999,0.0890008,,0.0,639906.644991,
Wetland,,,,0.340239093,,0.0,0.0,,,,0.0,0.0,,,,7.3713048709999995
