,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,8227334.290743612,0.0,1657.3430455029998,39942.959103099005,0.430522565,2.3280048150000003,14904.815228669002,0.0,,15955.980312386997,279468.265174329,95.09189617500002,,0.0,644.2272341220001,0.0
Beach and Dune,0.0,103520.39107708,,2.411377838,,,9.913244379,4.733686072,,195.3244669,6.519313629,61.62565195,,12.68092231,0.0,
Forest Plantation,139.299446183,,1195506.797085106,229.30439072299998,0.0,0.0,9302.367070905999,,,81.18717823499999,1154.376225054,0.0,,,8.861776117,0.0
Grassland,70373.11130936703,24.82580498,514.200978166,18829702.608106993,0.950270697,0.0,25103.627615043,0.25217832,,12299.855229166002,42052.94508979601,365.36135742,,267.7221585,499.54105903999994,0.252173474
Mining,0.516198608,,0.0,0.33923277,10985.43755179,,0.6876951779999999,,,1.4538551690000001,1.364737061,0.8596381960000001,,,0.42244530699999994,
Mosaic of Agriculture and Pasture,2.83061087,,0.0,0.0,,149.969496699,0.16744577,,0.0,0.082912292,1.3418407710000002,0.0,0.0,,0.0,0.0
Natural Forest,180462.563166068,11.25294026,6762.786759002999,13363.395168192,8.723234846,0.498079144,110416607.26095432,2.774441699,0.0,29033.383022507005,1087345.3284767498,1436.9674451640003,0.0,636.6139165899999,403.78355582999995,0.0
Non Observed,0.0,1.786158539,,0.261472626,,,0.752115131,15.420429455999999,,0.0,0.24828042,2.456056861,,1.786002551,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.934221423,,0.0,,,,,
Other Non Vegetated Area,14158.084361237,40.90475637,41.268354066,7908.125938971,0.945463044,0.082266797,4298.91174032,0.164879468,,393643.62316068995,41433.432642766005,179.43545249099998,,55.80993602,2526.3946120559995,
Pasture,209834.87366134097,5.80474704,1650.070105485,53937.558388469995,5.927804133,1.840996076,150930.932808465,0.17121387300000002,0.0,18769.695361663,55629591.52021,366.085211087,,198.3208874,2631.389166089,0.0
"River, Lake and Ocean",45.363985453000005,166.20796769999998,0.0,342.690654983,0.0,0.0,1818.0105121739998,0.803747662,,737.4914854709999,287.82595892100005,983417.8141859999,,53.4948585,0.260266571,
Rocky outcrop,,,,,,,0.0,,,,,,0.935208356,,,
Salt flat,0.0,0.357248236,,15.80585873,,,81.793770338,0.178597797,,0.178609247,0.0,3.840327142,,8738.794656188,0.0,
Urban Infrastructure,0.252160162,0.0,0.0,0.674183416,0.16865755,,1.041324243,,,3.6647865429999995,2.546688355,0.0,,5.17918623,309971.0635762,
Wetland,,,,0.34409996299999995,,0.0,0.0,,,,0.0,0.0,,,,5.032359985
