,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,15436029.980961274,0.089296356,1235.611345162,18606.240790118,0.086719611,0.250832812,13072.937492863002,0.0,,10139.200493139995,260753.278738679,707.7898384150001,,0.71437326,882.335781565,0.0
Beach and Dune,0.794401508,105471.89347078,,1.160914423,,,6.251747174,12.50403411,,127.083774745,7.0550784360000005,127.08732309999999,,2.500553119,0.089296851,
Forest Plantation,2919.7608497910005,,1576281.5563876,87.559651844,0.084332776,0.0,1607.7283591770001,,,5.753406751,393.63095992,0.17122178300000002,,,20.253164682,0.0
Grassland,86769.014188139,1.69677536,1274.979009004,17776151.205652,0.42581472100000006,0.0,11352.091126366999,0.082668121,,18704.621136503,40330.18127241001,1090.674622309,,376.32360839999996,153.359152412,0.512084821
Mining,0.168411505,,0.0,5.970403309000001,13178.04107636,,9.851758942000002,,,6.999505107999999,7.3170666749999995,9.360900951999998,,,1.5281639399999998,
Mosaic of Agriculture and Pasture,3.007489172,,0.0,0.0,,168.848584732,0.250532123,,0.0,0.0,0.41985960699999997,0.0,0.0,,0.41740377799999995,0.0
Natural Forest,64712.274872938986,11.968018941,20075.980452873002,11431.383855193004,19.520765277000002,0.419379272,96873450.16513401,0.669774249,0.0,20545.980697663,464829.59352085786,20927.641557002,0.0,252.549574058,269.89407249000004,0.0
Non Observed,0.246322333,3.929685797,,0.0,,,2.33879422,32.970371195,,0.663327277,0.33150932,5.607477924,,0.178600769,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.41378093299999996,,0.0,,,,,
Other Non Vegetated Area,34476.763425248,118.24360279999999,511.98824083299996,11766.599064424001,3.799647113,0.082904974,3537.382310810001,1.071619592,,472820.9877093,35966.73169265501,803.230178299,,227.16864180000002,820.8785484959999,
Pasture,511350.60270411504,49.74231776,42072.870082475005,50313.348611,177.04645135199996,1.497914324,133780.102997764,0.49340457200000004,0.0,11113.317065695,62463025.4682,9960.832657777999,,307.17568239999997,2938.1256180770006,0.0
"River, Lake and Ocean",49.569809504999995,60.99890798,0.085733167,344.92707553,8.677163056,0.0,993.277381511,3.904019452,,639.0562243319999,266.856404193,1286313.09227937,,12.95058671,3.363054095,
Rocky outcrop,,,,,,,0.0,,,,,,0.762386572,,,
Salt flat,0.0,1.6075195130000002,,1.8754862369999998,,,3.929037622,0.0,,2.054180054,0.0,7.412206555,,6642.731546873,0.0,
Urban Infrastructure,0.8424710139999999,0.0,0.083606128,0.6837676949999999,0.167737097,,1.3055349920000001,,,1.7145098689999998,3.522580713,0.0,,44.46961741,520367.639493,
Wetland,,,,0.169999817,,0.08316416,0.0,,,,0.0,0.0,,,,7.547198193
