,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,8267609.959291502,0.0,3536.014771498,137391.385359531,0.505184504,4.575900775,61278.724797099014,0.16492116699999998,,17302.935117858004,1039220.6687823058,702.470673816,,0.0,5018.189579236,0.0
Beach and Dune,0.0,99933.32019774,,22.14698977,,,132.276484776,6.877413488999999,,597.636872136,132.526403733,966.2638312109999,,11.69895917,0.0,
Forest Plantation,7504.8861254819985,,1255733.9498237302,1381.654114417,0.9316918030000001,0.0,22352.346904758997,,,196.897822778,9637.33848663,1.264415265,,,65.365532521,0.0
Grassland,435773.29339236405,110.4711053,4034.7339918420003,17886240.666091,4.034648199,0.0,58039.79805841901,0.0892992,,38918.28247513,257937.87868060003,4153.031395954001,,255.6716784,2540.3200939190006,0.170154755
Mining,0.0,,0.0,2.662324151,11309.3898418,,4.038393586,,,6.931584387,6.007659259,4.9016649349999994,,,1.361811072,
Mosaic of Agriculture and Pasture,9.780084755,,0.082078113,0.0,,136.364897526,1.004176129,,0.0,0.166181726,4.600520349,0.08414752800000001,0.0,,0.33357022700000005,0.249867468
Natural Forest,827225.5084965636,239.16384145700002,76258.99662344,180774.75380983998,100.860347755,2.0069445249999998,101333605.19519153,2.965753576,0.0,65072.208837123006,4529977.2246373,118009.24787173702,0.0,266.90289505,6881.1780060010005,0.0
Non Observed,0.251710528,7.591341589,,0.0,,,3.884623041,12.283909211,,0.338084186,0.999159198,7.546365466000001,,0.17860299699999999,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.845885376,,0.0,,,,,
Other Non Vegetated Area,21155.902984109,114.40315149999999,1103.144451169,12659.934496620002,1.1885026550000002,0.0,5731.474553628001,0.08932490800000001,,319547.2494637701,58035.94606748401,1955.3915414049998,,23.93107139,6888.02350526,
Pasture,1763803.1636198373,78.4989085,54594.007760579,252112.81437359998,115.576646509,12.011676537,1196120.035218754,1.410903131,0.0,35463.62990579,56519808.73464999,19616.068692154,,21.61022734,35115.324953400006,0.0
"River, Lake and Ocean",583.2222962129999,1456.05326,0.171317999,3153.250741424,18.377161311000002,0.0,7496.247413859001,5.804634467,,3877.6637901460003,18200.985547319,965909.98781446,,107.25630290000001,82.829705305,
Rocky outcrop,,,,,,,0.0,,,,,,0.508660931,,,
Salt flat,0.17859246199999998,15.18135263,,51.08345099,,,49.203786276,0.803702795,,44.20304014,3.9291977360000003,120.57383270000001,,7548.8775620589995,4.196915417,
Urban Infrastructure,0.513748901,0.0,0.0,0.34179071699999997,0.7605765739999999,,1.040586804,,,1.1147387089999998,4.434513934,0.166022241,,0.0,375089.9089936,
Wetland,,,,0.679910932,,0.0,0.08346767,,,,0.0,0.0,,,,5.733135283999999
