,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10529958.094178004,0.353067188,6030.868117206001,46302.52373225301,0.257698267,5.016251196,45954.17704971601,0.247385614,,9257.746475595,758901.4400617598,1132.954519325,,0.0,3526.9878477980005,0.0
Beach and Dune,0.0,100803.81757493,,36.882506395,,,102.623228177,20.27409328,,390.1814645,90.73335460199999,930.000321723,,7.412125103999999,0.0,
Forest Plantation,17984.971826168003,,1368070.01498011,1117.084096783,0.6746033570000001,0.0,17275.762907651,,,145.782191231,5870.880258928999,0.253710199,,,61.60276907,0.0
Grassland,606020.5636010222,128.68857759999997,4760.426113171,17491061.679424,32.809332072,0.175311005,35211.500775313,0.0,,45519.796242,318700.47741500003,6176.084435108001,,21.61238604,1761.0083608439998,0.25599027100000005
Mining,0.42102225299999996,,0.0,9.676581182,11842.034920400001,,42.222670714,,,58.239106316999994,36.555392731,9.845559521,,,17.215097294000003,
Mosaic of Agriculture and Pasture,9.832769886,,0.0,0.0,,147.195434013,2.909594256,,0.0,0.08326852400000001,3.577287415,0.0,0.0,,0.0,0.08319361
Natural Forest,1212616.0106101248,410.93402653399994,104894.368306372,177297.599471848,413.489169775,1.0880997739999998,96441234.053386,2.270728662,0.0,89264.057301369,4266100.6356847,91597.428514951,0.0,50.453998921,3311.1498165750004,0.0
Non Observed,0.7420337589999999,1.964916736,,0.0,,,2.25156648,14.191720824999999,,1.122593243,0.662383319,7.463976013,,0.446500488,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.936877826,,0.0,,,,,
Other Non Vegetated Area,52725.08368578799,844.838417036,1378.25623676,23239.605162528995,1.630601122,0.08927553699999999,6098.730763618,1.0333457830000001,,399830.9822313,52569.151776750005,4479.7855482859995,,9.913334528,4136.954308988,
Pasture,3093186.9553451184,264.698370327,86548.40513928201,196258.35360330006,487.09144125099994,14.16153385,1111484.598971108,1.240599451,0.0,23907.92410138,57918160.80026999,48734.999702939,,0.178614563,23433.566003869997,0.0
"River, Lake and Ocean",145.677512348,1262.864315698,0.335373486,1397.4994774949998,72.569258439,0.0,5176.444956426,5.339089819,,2808.764014103999,2540.716229539,1104229.2679160002,,63.499885,38.740211655,
Rocky outcrop,,,,,,,0.0,,,,,,0.51031944,,,
Salt flat,0.0,38.0438782,,336.1499243,,,221.81482568999996,0.8037152340000001,,94.38928289,31.61178196,33.93674622,,7957.529194893999,0.0,
Urban Infrastructure,0.930691779,0.178614343,0.165421405,1.1169917669999998,2.037092865,,0.782294085,,,2.318414934,3.9200856699999997,0.0,,0.0,459552.81858300004,
Wetland,,,,0.252345715,,0.0,0.0,,,,0.0,0.0,,,,6.45532594
