,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,6966805.008583533,0.0,26232.961493249004,78471.843703702,16.396083294,3.25293866,51543.76458496299,0.0,,15388.782551455,525643.48303068,865.0712011749999,,0.0,43842.89516319101,0.0
Beach and Dune,0.5358058529999999,89968.11622097001,,411.32656089999995,,,473.03188093,12.23586583,,4232.319321,191.1121951,1370.840886129,,42.1501944,0.5357980529999999,
Forest Plantation,68851.87751881899,,855518.6825595,5.223644268,0.755556598,0.0,47.82301636500001,,,0.9409230529999999,40.146140796,0.0,,,496.3984711830001,0.0
Grassland,1876487.6564771244,656.9362269999999,56745.68475828999,16122739.024113001,176.268365485,0.0,52569.423837918,1.588712353,,66490.948140082,1182823.7654666998,15775.542206783,,56.52729116,28275.26834706,0.0
Mining,31.381380696999997,,0.083738477,207.58000029100003,8005.79924564,,79.833777625,,,267.323170607,476.069275386,139.87387403,,,257.065115864,
Mosaic of Agriculture and Pasture,27.915909109,,0.829367249,0.16814913899999998,,102.440686828,4.527015453999999,,0.0,0.166649316,7.028150220000001,0.16700906999999998,0.084512744,,1.503217699,0.083217517
Natural Forest,7522665.343018745,2228.277729078,981352.54539449,147476.350460331,2122.42695565,4.457640723,86591321.58063425,7.499992548000001,0.0,108868.640798038,18984796.874726124,295118.8348835919,0.0,175.02423333000002,93369.44809929897,0.082907776
Non Observed,0.329886652,1.1610522220000001,,0.335087543,,,2.378941779,7.102017926,,1.6903811889999998,1.3415338490000002,11.112074444000001,,0.44649708299999996,0.495914935,
Other Non Forest Natural Formation,0.341121436,,,0.0,,0.0,0.086012811,,3.5108123840000003,,0.0,,,,,
Other Non Vegetated Area,81750.15224954099,615.7564323,3826.2233871299995,24921.997593863,113.609415494,0.0,35988.668956457,0.41455662200000004,,370993.9543122,92067.46354051001,8120.760398293001,,124.30960290000002,47051.83539763001,
Pasture,8642088.399752418,348.1098146,1105144.4091442327,332956.814402,2670.1454335219996,36.410660623,3349184.678519542,1.2410099909999999,0.0,43258.21102595,39926473.158444,95927.17337943401,,3.1254555660000003,250124.61006640003,0.33268057300000003
"River, Lake and Ocean",2807.0972377359994,4819.041519036,27.050146253999994,10563.384676931999,16.274077468999998,0.0,42250.014552678986,6.56983222,,10467.717938216,76330.24429866999,822075.7969405502,,246.82772020000002,603.192234329,
Rocky outcrop,,,,,,,0.08688760400000001,,,,,,0.254756622,,,
Salt flat,0.0,53.13700728,,151.29594880000002,,,630.4398584239999,0.267904211,,110.92969140000001,0.893051587,30.18682524,,6271.494968606,4.55411662,
Urban Infrastructure,0.0,0.0,0.0,0.082865186,0.923411304,,0.178084564,,,0.0,0.258912665,0.0,,0.0,192913.89890016,
Wetland,,,,0.169963867,,0.0,0.668496002,,,,0.0,0.0,,,,5.747251801000001
