,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,14421643.545249341,1.0623127509999999,1143.139777201,18353.097031691,0.085467041,0.754380218,15998.850968436001,0.0,,7109.449657121,213393.24005755497,367.223075177,,0.0,643.3141910820001,0.0
Beach and Dune,0.0,105088.86876541,,0.535844849,,,7.055627436,9.556466376,,91.45058799,5.358259203999999,90.470354,,0.535837476,0.08931467900000001,
Forest Plantation,5439.636402843,,1518634.0190714998,95.98240818699999,0.251820166,0.0,1953.257677727,,,9.518275513,346.993249845,0.267053492,,,24.716156008,0.0
Grassland,120414.32333441499,2.411162921,931.5953871989999,17840448.820241,1.461817706,0.0,10940.435177723002,0.082883453,,28497.961605070002,42512.16203454,1724.2833935360002,,26.16646913,89.107830616,0.429401019
Mining,0.42102225299999996,,0.0,1.457795825,13026.945520099998,,12.627512922000001,,,3.5965602719999996,4.4547040650000005,0.258179022,,,1.445307428,
Mosaic of Agriculture and Pasture,3.753685352,,0.0,0.0,,172.41870465099998,0.16592934,,0.0,0.0,0.254108978,0.0,0.0,,0.0,0.08316416
Natural Forest,109109.83899162496,5.269750714,18188.092021701,27293.990992401006,43.460145704000006,0.084808673,97410583.67814992,0.943956622,0.0,38745.56834556699,540395.2690349299,6428.49183699,0.0,6.786952112,184.26676019699997,0.0
Non Observed,0.824261792,3.1258048460000003,,0.0,,,0.752667816,29.255160854999996,,0.612312909,0.497051239,5.492528748,,0.35719621,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.17202562300000002,,0.847211237,,0.0,,,,,
Other Non Vegetated Area,73413.11609803101,136.103196,682.937155524,13048.480504236,1.37000614,0.0,4118.059142924001,0.516601581,,523205.0424126,41213.875109215005,5265.389830295,,17.50407719,1141.279005075,
Pasture,888298.034440906,33.66746312,25885.078749131004,56984.70800773,46.135553537,0.586351019,120222.43787621,1.242043878,0.0,14377.342324191002,62381737.767680004,5165.45890718,,6.1617459839999995,2082.711446029,0.0
"River, Lake and Ocean",90.055791316,83.68645249,0.251530115,311.47689961699996,5.9158051270000005,0.0,1822.841868828,4.325018225,,536.511483977,318.682799411,1259972.68883181,,8.216391187000001,0.9693473320000001,
Rocky outcrop,,,,,,,0.0,,,,,,0.847765393,,,
Salt flat,0.0,0.6251596979999999,,14.37936436,,,7.322427577000001,0.178603247,,0.8037270809999999,0.08931735199999999,1.250374316,,6271.212492892,0.0,
Urban Infrastructure,1.197112775,0.17859643600000003,0.0,1.278475159,0.337597113,,0.875095344,,,1.1100846490000003,4.514076781,0.0,,0.0,509753.956419,
Wetland,,,,0.08403681,,0.0,0.0,,,,0.0,0.0,,,,6.442716492
