,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,14690481.503635747,0.0,19700.34373944,46391.680172549,4.484726654,4.508752008999999,53051.61236809802,0.0,,10973.661361710003,913891.8411860862,1497.0671454509995,,0.0,5431.813898864001,0.0
Beach and Dune,0.883700452,104170.50069227,,99.40051277,,,88.234952367,17.59422003,,317.650781468,167.0877264,884.8877562999999,,9.823022131,0.35720412,
Forest Plantation,26339.747835486996,,1548409.6958865,162.88492637000002,0.505874756,0.0,4764.799617061999,,,33.168601072,1315.023334541,4.497477247,,,286.174881093,0.0
Grassland,354026.31152880896,106.89630530000001,12772.531112911001,17186995.323391,36.693078574,0.0,43819.755881345,0.082974438,,35488.097788267,296493.1501253,4626.705330965,,51.52847178,1787.3205118510004,0.772166479
Mining,15.124833819,,0.25367096,121.054836032,12109.479549599999,,68.173552273,,,338.28616027,385.044472179,118.85589772399999,,,62.964312967000005,
Mosaic of Agriculture and Pasture,13.370588414999999,,0.16359622199999999,0.0,,152.61911638200002,2.167169238,,0.0,0.0,4.0371249449999995,0.08481038199999999,0.0,,0.501463867,0.0
Natural Forest,455191.022212525,265.437414565,172210.892716831,123306.74122472698,384.983110281,1.594056824,93916934.12914856,4.853829674999999,0.0,53441.427120818,2691580.462641419,58740.83758152298,0.0,23.129828714,4442.531807417001,0.0
Non Observed,0.658646729,9.378202832000001,,0.165959875,,,2.7211916379999996,16.471771259,,0.0,2.320053857,13.849046272999999,,0.535794659,0.165421716,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.41378093299999996,,0.0,,,,,
Other Non Vegetated Area,56806.51219484,418.051175436,1167.48516812,22478.214525073003,47.702026619,0.0,12323.843535152,1.147955615,,403781.9899522,56093.833880442,2860.3521770179996,,30.54115292,5045.2538524560005,
Pasture,2254016.514195646,136.10056919999997,410999.65260666,209605.9785129,657.426166524,11.406986805,1275328.8894239997,1.485700385,0.0,23573.285089798002,58991367.88168,32663.466765574998,,0.17859162,26728.36301755,0.0
"River, Lake and Ocean",208.816777554,1123.820518193,0.7599927550000001,2479.033255238,278.287450931,0.0,8437.460675704,7.967866590000002,,2282.2400490260006,7152.880666698001,1266681.2825135998,,27.775653285,16.433103533,
Rocky outcrop,,,,,,,0.0,,,,,,0.762386572,,,
Salt flat,0.0,16.96829485,,29.38334879,,,63.938833110000004,0.178601678,,21.70157957,14.28979047,32.59729415,,6480.552233873,0.0,
Urban Infrastructure,1.096887793,0.178614825,0.08170174,0.787836939,2.374721801,,2.094362432,,,1.3738414429999999,4.364575746,0.0,,0.0,520408.0767669999,
Wetland,,,,0.168050421,,0.0,0.0,,,,0.0,0.0,,,,7.6323117499999995
